perref,type,comcode,sitc,cod,port,coo,mode,value,mass,supp_unit
202301,1,22041011,11215,FR,NA,FR,0,22139627,767412,766616
202301,1,22041011,11215,FR,ZZZ,NA,NA,1544890,25788,25894
202301,1,22041011,11215,FR,LON,FR,10,2591004,122650,122648
202301,1,22041011,11215,FR,MED,FR,60,93855,6615,6615
202301,1,22041011,11215,FR,DOV,FR,60,936092,47963,47994
202301,1,22041011,11215,FR,LGP,FR,10,4068,179,47
202301,1,22041011,11215,FR,PTM,FR,60,129159,6167,6167
202301,1,22041011,11215,FR,JSY,JE,10,107123,6498,6498
202301,1,22041011,11215,FR,DEU,FR,60,993917,49300,49299
202301,1,22041011,11215,FR,EUT,FR,60,211234,7772,12234
202301,1,22041011,11215,FR,LHR,FR,40,14571,305,293
202301,1,22041011,11215,FR,BHX,FR,40,1428,27,27
202301,1,22041011,11215,FR,XXX,FR,30,6850,215,183
202301,1,22041011,11215,NL,NA,FR,0,65331,276,276
202301,1,22041011,11215,NL,LON,FR,10,92706,7560,7560
202301,1,22041011,11215,NL,THP,FR,10,52227,4320,4320
202301,1,22041011,11215,NL,MID,FR,10,20832,1440,1440
202301,1,22041011,11215,NL,IMM,FR,10,72545,5396,5396
202301,1,22041011,11215,NL,HRH,FR,10,20985,1440,1440
202301,1,22041011,11215,DE,NA,FR,0,27848,203,203
202301,1,22041011,11215,DE,NA,DE,0,6745,4,4
202301,1,22041011,11215,IT,NA,FR,0,28459,108,108
202301,1,22041011,11215,IT,EUT,IT,60,1202,34,34
202301,1,22041011,11215,IE,ZZZ,NA,NA,7744,663,668
202301,1,22041011,11215,DK,NA,FR,0,52063,137,137
202301,1,22041011,11215,ES,NA,FR,0,366316,21054,21054
202301,1,22041011,11215,ES,LIV,ES,60,48055,14400,13950
202301,1,22041011,11215,ES,LGW,FR,40,2480,240,30
202301,1,22041011,11215,BE,NA,FR,0,1069012,29601,29601
202301,1,22041011,11215,BE,LON,FR,60,70720,4851,4851
202301,1,22041011,11215,BE,MID,FR,60,25885,1764,1764
202301,1,22041011,11215,BE,IMM,FR,60,517249,19431,19431
202301,1,22041011,11215,SE,HUL,FR,10,14636,630,630
202301,1,22041011,11215,EE,NA,FR,0,2935,9,9
202301,1,22041011,11215,CZ,DOV,CZ,60,2325,18,18
202301,1,22041013,11215,FR,NA,ES,0,2756,729,729
202301,1,22041013,11215,IT,NA,IT,0,39740,11880,11880
202301,1,22041013,11215,IE,ZZZ,NA,NA,45,28,14
202301,1,22041013,11215,ES,NA,ES,0,697503,251844,251844
202301,1,22041013,11215,ES,ZZZ,NA,NA,9117,4668,4727
202301,1,22041013,11215,ES,LON,ES,10,247343,100588,100618
202301,1,22041013,11215,ES,LON,ES,60,16266,4050,4050
202301,1,22041013,11215,ES,THP,ES,10,111214,42473,42481
202301,1,22041013,11215,ES,AVO,ES,10,63611,31672,31685
202301,1,22041013,11215,ES,LIV,ES,10,496756,217573,217603
202301,1,22041013,11215,ES,MID,ES,10,19438,9936,9936
202301,1,22041013,11215,ES,IMM,ES,10,45472,19937,19936
202301,1,22041013,11215,ES,IMM,ES,60,69430,30105,30105
202301,1,22041013,11215,ES,EUT,ES,60,6034,1868,415
202301,1,22041013,11215,ES,PUF,ES,10,7132,2898,2898
202301,1,22041013,11215,BE,LON,ES,60,70065,33278,33278
202301,1,22041013,11215,BE,MID,ES,60,24280,11475,11475
202301,1,22041013,11215,BE,HUL,ES,60,26105,12546,12546
202301,1,22041013,11215,BE,IMM,ES,60,10958,5202,5202
202301,1,22041015,11215,FR,NA,FR,0,4007,473,473
202301,1,22041015,11215,FR,NA,IT,0,2438,756,756
202301,1,22041015,11215,FR,DOV,IT,60,10579,2453,2453
202301,1,22041015,11215,FR,PTM,IT,60,1939,450,450
202301,1,22041015,11215,NL,NA,IT,0,8763,2070,2070
202301,1,22041015,11215,IT,NA,FR,0,5499,1296,1296
202301,1,22041015,11215,IT,NA,IT,0,8889508,2258265,2257762
202301,1,22041015,11215,IT,NA,ES,0,39337,11385,11385
202301,1,22041015,11215,IT,ZZZ,NA,NA,108120,29355,29372
202301,1,22041015,11215,IT,LON,FR,10,4427,1080,1080
202301,1,22041015,11215,IT,LON,IT,10,1918435,517699,517696
202301,1,22041015,11215,IT,LON,IT,60,919483,260373,260855
202301,1,22041015,11215,IT,THP,IT,10,297525,86713,192013
202301,1,22041015,11215,IT,MED,IT,10,2094,487,487
202301,1,22041015,11215,IT,DOV,IT,60,125090,27856,27395
202301,1,22041015,11215,IT,LGP,IT,10,4832601,1221575,1221575
202301,1,22041015,11215,IT,GRG,IT,10,214686,65196,65196
202301,1,22041015,11215,IT,MID,IT,10,160847,48073,46742
202301,1,22041015,11215,IT,MID,IT,60,169481,52155,52155
202301,1,22041015,11215,IT,HUL,IT,10,858220,251402,251402
202301,1,22041015,11215,IT,HUL,IT,60,69697,21060,21060
202301,1,22041015,11215,IT,IMM,IT,10,104834,31230,31230
202301,1,22041015,11215,IT,IMM,IT,60,588562,163801,163801
202301,1,22041015,11215,IT,EUT,IT,60,100125,20180,20180
202301,1,22041015,11215,IT,KIL,IT,10,63228,17728,17727
202301,1,22041015,11215,IT,KIL,IT,60,498898,104580,104580
202301,1,22041015,11215,IT,PUF,IT,10,92933,22093,22093
202301,1,22041015,11215,IT,PUF,IT,60,34601,10800,10800
202301,1,22041015,11215,IT,LSA,IT,40,2454,351,351
202301,1,22041015,11215,IE,ZZZ,NA,NA,7396,1423,1397
202301,1,22041015,11215,ES,NA,ES,0,6966,1080,1080
202301,1,22041015,11215,ES,LGP,IT,10,32578,9108,9108
202301,1,22041015,11215,ES,IMM,IT,10,22617,5400,5400
202301,1,22041015,11215,BE,LON,IT,60,721612,188316,188316
202301,1,22041015,11215,BE,MID,IT,60,289590,78622,78622
202301,1,22041015,11215,BE,HUL,IT,60,1704,428,428
202301,1,22041015,11215,BE,IMM,IT,60,513047,134150,134150
202301,1,22041015,11215,SE,HUL,IT,10,2623,540,540
202301,1,22041015,11215,SK,EMA,SK,40,2031,1,1
202301,1,22041091,11215,FR,ZZZ,NA,NA,32,9,9
202301,1,22041091,11215,IT,NA,IT,0,436105,137407,137095
202301,1,22041091,11215,IT,ZZZ,NA,NA,3217,855,855
202301,1,22041091,11215,IT,LON,IT,10,7719,2746,2746
202301,1,22041091,11215,IT,LON,IT,60,926,90,90
202301,1,22041091,11215,IT,LGP,IT,10,2998,1036,1036
202301,1,22041091,11215,IT,MNC,IT,10,271042,88947,88947
202301,1,22041091,11215,IT,MID,IT,10,3311,1283,1283
202301,1,22041091,11215,IT,HUL,IT,10,4422,1710,1710
202301,1,22041091,11215,BE,LON,IT,60,111199,41227,41227
202301,1,22041091,11215,BE,MID,IT,60,39920,14714,14714
202301,1,22041091,11215,BE,HUL,IT,60,5716,2138,2138
202301,1,22041091,11215,BE,IMM,IT,60,45445,16776,16776
202301,1,22041093,11215,FR,NA,FR,0,591004,105600,105660
202301,1,22041093,11215,FR,NA,DE,0,1597,180,180
202301,1,22041093,11215,FR,NA,AR,0,1739,518,518
