perref,type,comcode,sitc,cod,port,coo,mode,value,mass,supp_unit
202302,1,22041011,11215,FR,NA,FR,0,26677917,968491,963984
202302,1,22041011,11215,FR,ZZZ,NA,NA,1103150,17664,17673
202302,1,22041011,11215,FR,LON,FR,10,3921784,186391,186391
202302,1,22041011,11215,FR,LON,FR,60,2755,220,104
202302,1,22041011,11215,FR,MED,FR,60,116094,4830,4830
202302,1,22041011,11215,FR,DOV,FR,10,21081,1115,1115
202302,1,22041011,11215,FR,DOV,FR,60,954705,44500,43754
202302,1,22041011,11215,FR,LGP,FR,10,4689,129,158
202302,1,22041011,11215,FR,PTM,FR,60,345315,20187,20187
202302,1,22041011,11215,FR,JSY,JE,10,98337,14833,14833
202302,1,22041011,11215,FR,DEU,FR,60,266909,8477,8475
202302,1,22041011,11215,FR,EUT,FR,60,98414,4670,4132
202302,1,22041011,11215,FR,LHR,FR,40,1019,68,27
202302,1,22041011,11215,FR,EMA,FR,40,1471,35,9
202302,1,22041011,11215,NL,NA,FR,0,8084,180,180
202302,1,22041011,11215,NL,LON,FR,10,117552,9356,9356
202302,1,22041011,11215,NL,THP,FR,10,24191,1800,1800
202302,1,22041011,11215,NL,GRG,FR,10,25573,1800,1800
202302,1,22041011,11215,NL,MID,FR,10,58892,4680,4680
202302,1,22041011,11215,NL,IMM,FR,10,47641,3600,3600
202302,1,22041011,11215,NL,KIL,FR,60,16298,900,900
202302,1,22041011,11215,DE,NA,FR,0,122997,715,715
202302,1,22041011,11215,DE,THP,FR,10,70128,4095,4095
202302,1,22041011,11215,IT,NA,FR,0,6710,32,32
202302,1,22041011,11215,IT,NA,IT,0,7051,29,29
202302,1,22041011,11215,IE,NA,FR,0,48958,620,620
202302,1,22041011,11215,IE,ZZZ,NA,NA,2529,131,113
202302,1,22041011,11215,DK,NA,FR,0,27401,87,87
202302,1,22041011,11215,DK,LON,FR,60,2749,0,30
202302,1,22041011,11215,ES,NA,FR,0,90927,5733,5733
202302,1,22041011,11215,ES,LON,ES,60,17817,6120,6120
202302,1,22041011,11215,ES,THP,ES,10,94334,32265,32265
202302,1,22041011,11215,BE,NA,FR,0,760195,19792,19792
202302,1,22041011,11215,BE,LON,FR,60,218108,13545,13545
202302,1,22041011,11215,BE,MID,FR,60,25609,1638,1638
202302,1,22041011,11215,BE,HUL,FR,60,7276,360,360
202302,1,22041011,11215,BE,IMM,FR,60,135845,6543,6543
202302,1,22041011,11215,AT,NA,FR,0,43637,1072,1072
202302,1,22041013,11215,FR,NA,ES,0,5167,3424,1710
202302,1,22041013,11215,NL,LON,ES,10,30862,11860,11860
202302,1,22041013,11215,NL,GRG,ES,10,5976,2296,2296
202302,1,22041013,11215,NL,MID,ES,10,3983,1530,1530
202302,1,22041013,11215,NL,IMM,ES,10,7966,3060,3060
202302,1,22041013,11215,IT,NA,IT,0,40838,10734,10734
202302,1,22041013,11215,IE,ZZZ,NA,NA,13,9,5
202302,1,22041013,11215,ES,NA,ES,0,683937,231510,231510
202302,1,22041013,11215,ES,ZZZ,NA,NA,12529,5673,5715
202302,1,22041013,11215,ES,LON,ES,10,168817,71498,71104
202302,1,22041013,11215,ES,LON,ES,60,90725,42300,48420
202302,1,22041013,11215,ES,THP,ES,10,202447,90451,90508
202302,1,22041013,11215,ES,DOV,ES,60,19462,9900,9900
202302,1,22041013,11215,ES,AVO,ES,10,39814,18346,18398
202302,1,22041013,11215,ES,LIV,ES,10,511645,250068,250112
202302,1,22041013,11215,ES,GRK,ES,10,79301,38928,38989
