perref,type,comcode,sitc,cod,port,coo,mode,value,mass,supp_unit
202303,1,22041011,11215,FR,NA,FR,0,27226483,1007169,1006346
202303,1,22041011,11215,FR,NA,IT,0,6720,360,360
202303,1,22041011,11215,FR,NA,SE,0,172282,8640,8640
202303,1,22041011,11215,FR,ZZZ,NA,NA,863424,26345,26414
202303,1,22041011,11215,FR,LON,FR,10,3389389,151134,147422
202303,1,22041011,11215,FR,LON,FR,60,45491,2592,2592
202303,1,22041011,11215,FR,MED,FR,60,8708,392,392
202303,1,22041011,11215,FR,DOV,FR,60,652632,30218,30221
202303,1,22041011,11215,FR,LGP,FR,10,970,0,45
202303,1,22041011,11215,FR,PTM,FR,60,406704,16811,16811
202303,1,22041011,11215,FR,JSY,JE,10,43074,6185,6185
202303,1,22041011,11215,FR,DEU,FR,60,487320,30607,30606
202303,1,22041011,11215,FR,EUT,FR,60,334432,16857,16756
202303,1,22041011,11215,FR,LHR,FR,40,52255,107,52
202303,1,22041011,11215,FR,BHX,FR,40,5657,313,315
202303,1,22041011,11215,FR,LSA,FR,40,1122,59,2
202303,1,22041011,11215,NL,NA,FR,0,27788,111,111
202303,1,22041011,11215,DE,NA,FR,0,53239,250,250
202303,1,22041011,11215,IT,NA,FR,0,53028,510,510
202303,1,22041011,11215,IT,NA,IT,0,9622,3024,3024
202303,1,22041011,11215,IE,ZZZ,NA,NA,4461,204,182
202303,1,22041011,11215,IE,EMA,IE,40,9212,32,3
202303,1,22041011,11215,DK,NA,FR,0,640160,401,401
202303,1,22041011,11215,ES,NA,FR,0,56793,147,147
202303,1,22041011,11215,ES,ZZZ,NA,NA,41,9,9
202303,1,22041011,11215,ES,LON,ES,60,12202,8910,4208
202303,1,22041011,11215,BE,NA,FR,0,180355,462,462
202303,1,22041011,11215,BE,LON,FR,10,116247,6840,6840
202303,1,22041011,11215,BE,LON,FR,60,65859,3969,3969
202303,1,22041011,11215,BE,MID,FR,60,43906,2646,2646
202303,1,22041011,11215,BE,IMM,FR,10,42827,2520,2520
202303,1,22041011,11215,BE,IMM,FR,60,223448,15620,15620
202303,1,22041011,11215,BE,EMA,FR,40,2250,1,5
202303,1,22041011,11215,SE,NA,FR,0,24530,936,936
202303,1,22041011,11215,AT,NA,FR,0,8966,90,90
202303,1,22041011,11215,EE,NA,FR,0,979,3,3
202303,1,22041013,11215,FR,NA,FR,0,1608,54,54
202303,1,22041013,11215,FR,NA,ES,0,1774,441,441
202303,1,22041013,11215,FR,NA,AU,0,949,113,113
202303,1,22041013,11215,FR,DOV,ES,60,5889,1355,1355
202303,1,22041013,11215,FR,EUT,ES,60,3032,1080,1080
202303,1,22041013,11215,NL,LON,ES,10,48087,11322,11322
202303,1,22041013,11215,NL,MID,ES,10,9075,2142,2142
202303,1,22041013,11215,NL,HUL,ES,10,5204,1224,1224
