perref,type,comcode,sitc,cod,port,coo,mode,value,mass,supp_unit
202308,1,22041011,11215,FR,NA,FR,0,18204595,504044,503836
202308,1,22041011,11215,FR,ZZZ,NA,NA,117058,3392,3447
202308,1,22041011,11215,FR,LON,FR,10,4123433,200158,200158
202308,1,22041011,11215,FR,LON,FR,60,13580,900,900
202308,1,22041011,11215,FR,LON,IT,10,92046,4500,4500
202308,1,22041011,11215,FR,THP,FR,10,784369,30115,30115
202308,1,22041011,11215,FR,MED,FR,10,56603,3317,3317
202308,1,22041011,11215,FR,DOV,FR,60,3995652,210079,209407
202308,1,22041011,11215,FR,LGP,FR,10,11665,144,301
202308,1,22041011,11215,FR,NHV,FR,60,225997,6516,6516
202308,1,22041011,11215,FR,PTM,FR,60,1845520,84223,84223
202308,1,22041011,11215,FR,MID,FR,60,35708,1746,1746
202308,1,22041011,11215,FR,HUL,FR,10,1007570,55128,55128
202308,1,22041011,11215,FR,IMM,FR,10,295208,17820,17820
202308,1,22041011,11215,FR,GSY,FR,10,22049,3047,1677
202308,1,22041011,11215,FR,DEU,FR,60,90047,3605,3602
202308,1,22041011,11215,FR,EUT,FR,60,1237614,65380,64978
202308,1,22041011,11215,FR,KIL,FR,10,142111,7560,7560
202308,1,22041011,11215,NL,NA,FR,0,23257,64,64
202308,1,22041011,11215,NL,HUL,FR,10,14564,1080,1080
202308,1,22041011,11215,NL,IMM,FR,10,4405,360,360
202308,1,22041011,11215,DE,NA,FR,0,16186,79,79
202308,1,22041011,11215,DE,LON,FR,10,27986,1728,1728
202308,1,22041011,11215,DE,HUL,FR,10,194631,7902,7902
202308,1,22041011,11215,DE,EUT,FR,60,9252,288,336
202308,1,22041011,11215,IT,NA,FR,0,19655,112,112
202308,1,22041011,11215,IT,NA,IT,0,55641,16739,16739
202308,1,22041011,11215,IT,DEU,IT,60,3032,42,42
202308,1,22041011,11215,IT,LHR,IT,40,1155,14,1
202308,1,22041011,11215,IE,ZZZ,NA,NA,5810,263,259
202308,1,22041011,11215,DK,NA,FR,0,25279,98,98
202308,1,22041011,11215,DK,EUT,FR,60,38116,396,396
202308,1,22041011,11215,GR,DOV,GR,60,123360,3780,3780
202308,1,22041011,11215,ES,NA,FR,0,3181,14,14
202308,1,22041011,11215,BE,NA,FR,0,209344,916,916
202308,1,22041011,11215,BE,LON,FR,60,621428,28062,28062
202308,1,22041011,11215,BE,MID,FR,60,30250,1746,1746
202308,1,22041011,11215,BE,IMM,FR,60,178985,8470,8470
202308,1,22041011,11215,EE,NA,FR,0,7579,21,21
202308,1,22041013,11215,FR,LON,ES,10,19873,4815,4815
202308,1,22041013,11215,FR,DOV,ES,60,8626,2754,2754
202308,1,22041013,11215,ES,NA,ES,0,28169,7979,7979
202308,1,22041013,11215,ES,ZZZ,NA,NA,13101,2886,2904
202308,1,22041013,11215,ES,LON,ES,10,132319,55156,55161
202308,1,22041013,11215,ES,LON,ES,60,8464,2642,2642
202308,1,22041013,11215,ES,THP,ES,10,854841,338976,339077
202308,1,22041013,11215,ES,LGP,ES,10,7642,2588,2588
202308,1,22041013,11215,ES,AVO,ES,10,47669,20197,20276
202308,1,22041013,11215,ES,LIV,ES,10,1187732,391105,391148
202308,1,22041013,11215,ES,GRK,ES,10,70031,26581,26627
202308,1,22041013,11215,ES,MID,ES,10,2976,1080,1080
