perref,type,comcode,sitc,cod,port,coo,mode,value,mass,supp_unit
202312,1,22041011,11215,FR,NA,FR,0,18682413,675203,656493
202312,1,22041011,11215,FR,NA,AU,0,16601,435,435
202312,1,22041011,11215,FR,ZZZ,NA,NA,640855,21181,20715
202312,1,22041011,11215,FR,LON,FR,10,3597902,166419,166419
202312,1,22041011,11215,FR,LON,FR,60,17183,816,816
202312,1,22041011,11215,FR,THP,FR,10,819040,28252,28198
202312,1,22041011,11215,FR,MED,FR,10,155558,4860,4860
202312,1,22041011,11215,FR,DOV,FR,60,5839493,272862,272862
202312,1,22041011,11215,FR,DOV,DE,60,74415,3375,3375
202312,1,22041011,11215,FR,DOV,IT,60,3460,157,158
202312,1,22041011,11215,FR,LGP,FR,10,10155,0,443
202312,1,22041011,11215,FR,PTM,FR,60,2777843,139035,138981
202312,1,22041011,11215,FR,MID,FR,60,93246,5783,5783
202312,1,22041011,11215,FR,HUL,FR,10,720478,33120,33120
202312,1,22041011,11215,FR,GSY,FR,10,8592,1556,423
202312,1,22041011,11215,FR,GSY,DE,10,1480,2020,9
202312,1,22041011,11215,FR,JSY,JE,10,61279,11689,11689
202312,1,22041011,11215,FR,DEU,FR,60,36122,1541,1541
202312,1,22041011,11215,FR,EUT,FR,60,1950313,97479,96996
202312,1,22041011,11215,FR,EUT,US,60,1399,9,9
202312,1,22041011,11215,FR,KIL,FR,60,509341,23778,23778
202312,1,22041011,11215,FR,LHR,FR,40,4447,197,72
202312,1,22041011,11215,FR,EMA,FR,40,890,0,19
202312,1,22041011,11215,NL,LON,FR,10,669142,42814,42814
202312,1,22041011,11215,NL,THP,FR,10,727456,47880,47880
202312,1,22041011,11215,NL,GRG,FR,10,247621,15840,15840
202312,1,22041011,11215,NL,MID,FR,10,61913,3960,3960
202312,1,22041011,11215,NL,HUL,FR,10,549429,36000,36000
202312,1,22041011,11215,NL,IMM,FR,10,145103,5670,5670
202312,1,22041011,11215,NL,FXT,FR,10,56470,1620,1620
202312,1,22041011,11215,DE,NA,FR,0,12084,22,22
202312,1,22041011,11215,DE,ZZZ,NA,NA,5484,360,360
202312,1,22041011,11215,DE,LGP,DE,10,2306,21,2
202312,1,22041011,11215,IT,NA,FR,0,64634,2058,2058
202312,1,22041011,11215,IT,THP,IT,10,3085,106,74
202312,1,22041011,11215,IT,MED,IT,10,11119,3780,3780
202312,1,22041011,11215,IT,DOV,FR,60,14342,797,797
202312,1,22041011,11215,IT,LSA,IT,40,11445,164,164
202312,1,22041011,11215,IE,ZZZ,NA,NA,20333,998,849
202312,1,22041011,11215,IE,HLD,FR,60,3478,18,18
202312,1,22041011,11215,DK,NA,FR,0,439290,177,177
202312,1,22041011,11215,DK,THP,FR,10,3345,39,15
202312,1,22041011,11215,DK,EUT,FR,60,1300,14,14
202312,1,22041011,11215,ES,NA,FR,0,4362,129,129
202312,1,22041011,11215,ES,EUT,FR,60,3820,69,69
202312,1,22041011,11215,BE,NA,FR,0,177004,699,699
202312,1,22041011,11215,BE,LON,FR,60,1704186,99728,99892
