perref,type,comcode,sitc,cod,port,coo,mode,value,mass,supp_unit
202402,1,22041011,11215,FR,NA,FR,0,14201192,382863,382863
202402,1,22041011,11215,FR,ZZZ,NA,NA,1101077,16397,16439
202402,1,22041011,11215,FR,LON,FR,10,3113560,126957,126957
202402,1,22041011,11215,FR,THP,FR,10,322343,10934,10770
202402,1,22041011,11215,FR,DOV,FR,10,162490,10071,10071
202402,1,22041011,11215,FR,DOV,FR,60,2683248,136223,135897
202402,1,22041011,11215,FR,LGP,FR,10,4364,0,176
202402,1,22041011,11215,FR,PTM,FR,60,1214466,58960,58960
202402,1,22041011,11215,FR,MID,FR,60,41759,2655,2655
202402,1,22041011,11215,FR,HUL,FR,10,897383,41988,41988
202402,1,22041011,11215,FR,IMM,FR,10,165488,8856,8856
202402,1,22041011,11215,FR,GSY,FR,10,21445,2475,986
202402,1,22041011,11215,FR,GSY,DE,10,33634,26922,900
202402,1,22041011,11215,FR,DEU,FR,60,33212,1586,1586
202402,1,22041011,11215,FR,EUT,FR,60,1600290,73311,73311
202402,1,22041011,11215,FR,LHR,FR,40,1920,150,11
202402,1,22041011,11215,FR,LSA,FR,40,914,54,24
202402,1,22041011,11215,FR,EMA,FR,40,5325,207,72
202402,1,22041011,11215,NL,NA,FR,0,4693,27,27
202402,1,22041011,11215,NL,LON,FR,10,200953,13680,13680
202402,1,22041011,11215,NL,THP,FR,10,45256,3240,3240
202402,1,22041011,11215,NL,GRG,FR,10,159043,10440,10440
202402,1,22041011,11215,NL,MID,FR,10,11094,720,720
202402,1,22041011,11215,NL,IMM,FR,10,147735,10080,10080
202402,1,22041011,11215,NL,HRH,FR,60,13447,17,17
202402,1,22041011,11215,DE,NA,FR,0,10168,63,63
202402,1,22041011,11215,DE,ZZZ,NA,NA,21917,1440,1440
202402,1,22041011,11215,DE,FXT,FR,10,30816,1638,1638
202402,1,22041011,11215,IT,NA,FR,0,907,2,2
202402,1,22041011,11215,IE,ZZZ,NA,NA,8078,340,320
202402,1,22041011,11215,DK,NA,FR,0,115031,154,154
202402,1,22041011,11215,DK,DOV,FR,60,27296,26,26
202402,1,22041011,11215,ES,DOV,FR,60,933,18,18
202402,1,22041011,11215,BE,NA,FR,0,128575,670,670
202402,1,22041011,11215,BE,LON,FR,10,141944,7920,7920
202402,1,22041011,11215,BE,LON,FR,60,579868,33927,33927
202402,1,22041011,11215,BE,DOV,FR,60,7875,441,441
202402,1,22041011,11215,BE,MID,FR,10,19356,1080,1080
202402,1,22041011,11215,BE,MID,FR,60,23235,1314,1314
202402,1,22041011,11215,BE,HUL,FR,60,13535,756,756
202402,1,22041011,11215,BE,IMM,FR,10,51616,2880,2880
202402,1,22041011,11215,BE,IMM,FR,60,549518,26046,26046
202402,1,22041011,11215,AT,NA,FR,0,13406,71,71
202402,1,22041011,11215,CZ,NA,FR,0,1245,5,5
202402,1,22041013,11215,FR,DOV,ES,60,2006,464,464
202402,1,22041013,11215,DE,LON,ES,10,31577,13387,13392
202402,1,22041013,11215,DE,THP,ES,10,4680,1915,1915
202402,1,22041013,11215,DE,AVO,ES,10,16448,6887,6887
202402,1,22041013,11215,DE,LIV,ES,10,24326,9948,9948
202402,1,22041013,11215,DE,GRK,ES,10,1871,765,765
202402,1,22041013,11215,IT,NA,IT,0,1374,270,270
202402,1,22041013,11215,ES,NA,ES,0,60637,14831,14831
202402,1,22041013,11215,ES,ZZZ,NA,NA,4565,1900,1913
202402,1,22041013,11215,ES,LON,ES,10,250484,80693,80693
202402,1,22041013,11215,ES,LON,ES,60,15749,7200,7200
202402,1,22041013,11215,ES,THP,IT,10,6254,2250,2250
202402,1,22041013,11215,ES,THP,ES,10,272718,86021,86021
202402,1,22041013,11215,ES,DOV,ES,10,22251,9108,9108
202402,1,22041013,11215,ES,DOV,ES,60,183306,74430,74430
202402,1,22041013,11215,ES,AVO,ES,10,33409,12150,12150
202402,1,22041013,11215,ES,LIV,ES,10,703589,232820,232820
202402,1,22041013,11215,ES,LIV,ES,60,43889,19800,19800
202402,1,22041013,11215,ES,GRK,ES,10,46503,20736,20736
202402,1,22041013,11215,ES,EUT,ES,60,122782,45976,45976
