perref,type,comcode,sitc,cod,port,coo,mode,value,mass,supp_unit
202405,1,22041011,11215,FR,NA,FR,0,11086587,314107,314118
202405,1,22041011,11215,FR,ZZZ,NA,NA,383554,10817,11016
202405,1,22041011,11215,FR,LON,FR,10,2906037,114790,114790
202405,1,22041011,11215,FR,LON,FR,60,187959,10584,10584
202405,1,22041011,11215,FR,THP,FR,10,1579231,53279,53236
202405,1,22041011,11215,FR,DOV,FR,10,639401,6480,6480
202405,1,22041011,11215,FR,DOV,FR,60,4016531,166874,166877
202405,1,22041011,11215,FR,DOV,US,60,11211,50,50
202405,1,22041011,11215,FR,LGP,FR,10,4345,0,99
202405,1,22041011,11215,FR,PTM,FR,60,1897442,56687,56687
202405,1,22041011,11215,FR,MID,FR,60,21941,1278,1278
202405,1,22041011,11215,FR,HUL,FR,10,513146,16367,16367
202405,1,22041011,11215,FR,IMM,FR,10,865855,48346,48346
202405,1,22041011,11215,FR,GSY,FR,10,28145,878,765
202405,1,22041011,11215,FR,GSY,IT,10,945,0,45
202405,1,22041011,11215,FR,JSY,FR,10,23423,2327,1314
202405,1,22041011,11215,FR,JSY,JE,10,8856,1131,1131
202405,1,22041011,11215,FR,DEU,FR,60,67629,3509,3509
202405,1,22041011,11215,FR,EUT,FR,60,1984060,87784,87527
202405,1,22041011,11215,FR,EUT,GB,60,1030,45,45
202405,1,22041011,11215,NL,HRH,FR,60,2228,45,45
202405,1,22041011,11215,DE,NA,FR,0,22037,27,27
202405,1,22041011,11215,DE,LON,FR,10,194384,4563,4563
202405,1,22041011,11215,IT,NA,FR,0,2724,135,135
202405,1,22041011,11215,IT,NA,IT,0,21798,2488,2488
202405,1,22041011,11215,IE,NA,FR,0,47410,49,49
202405,1,22041011,11215,IE,ZZZ,NA,NA,20877,357,303
202405,1,22041011,11215,IE,HLD,FR,60,6002,126,126
202405,1,22041011,11215,DK,NA,FR,0,135136,335,335
202405,1,22041011,11215,DK,EUT,FR,60,3672,9,9
202405,1,22041011,11215,ES,NA,FR,0,39859,225,225
202405,1,22041011,11215,ES,EUT,FR,60,1155,17,17
202405,1,22041011,11215,BE,NA,FR,0,244815,1371,1371
202405,1,22041011,11215,BE,LON,FR,60,52395,3024,3024
202405,1,22041011,11215,BE,MID,FR,60,22455,1296,1296
202405,1,22041011,11215,BE,IMM,FR,60,211416,8163,8163
202405,1,22041011,11215,BE,EUT,BE,60,11588,99,99
202405,1,22041011,11215,SE,HUL,FR,60,6299,270,270
202405,1,22041011,11215,EE,NA,FR,0,2640,9,9
202405,1,22041011,11215,PL,EMA,PL,40,1088,0,36
202405,1,22041011,11215,CZ,DOV,IT,60,2111,40,39
202405,1,22041013,11215,FR,DOV,ES,60,13168,2531,2531
202405,1,22041013,11215,DE,LON,ES,10,92155,37686,37876
202405,1,22041013,11215,DE,THP,ES,10,23241,9537,9568
202405,1,22041013,11215,DE,AVO,ES,10,4640,1913,1913
202405,1,22041013,11215,DE,LIV,ES,10,42694,17579,17597
202405,1,22041013,11215,IE,ZZZ,NA,NA,54,14,10
202405,1,22041013,11215,ES,NA,ES,0,103863,24854,24854
202405,1,22041013,11215,ES,ZZZ,NA,NA,13629,4281,4223
202405,1,22041013,11215,ES,LON,FR,10,26834,9000,9000
202405,1,22041013,11215,ES,LON,ES,10,955705,318310,318310
202405,1,22041013,11215,ES,THP,ES,10,171598,53186,53186
202405,1,22041013,11215,ES,DOV,ES,10,42285,13042,13042
202405,1,22041013,11215,ES,DOV,ES,60,88953,22627,22627
202405,1,22041013,11215,ES,LGP,FR,10,26635,9900,9900
202405,1,22041013,11215,ES,LGP,ES,10,348736,121734,121734
202405,1,22041013,11215,ES,PTM,ES,60,11579,3381,3381
202405,1,22041013,11215,ES,AVO,ES,10,52316,21942,21942
202405,1,22041013,11215,ES,LIV,IT,10,1257,450,450
202405,1,22041013,11215,ES,LIV,IT,60,44743,10951,10951
202405,1,22041013,11215,ES,LIV,ES,10,712863,266567,266567
202405,1,22041013,11215,ES,LIV,ES,60,137182,45900,45900
202405,1,22041013,11215,ES,GRK,ES,10,21750,9936,9936
202405,1,22041013,11215,ES,MID,ES,10,15911,3628,3628
202405,1,22041013,11215,ES,EUT,ES,60,258002,93816,93816
202405,1,22041013,11215,BE,LON,ES,60,60536,26244,26244
202405,1,22041013,11215,BE,MID,ES,60,31872,13623,13623
