perref,type,comcode,sitc,cod,port,coo,mode,value,mass,supp_unit
202406,1,22041011,11215,FR,NA,FR,0,15995488,485040,484890
202406,1,22041011,11215,FR,NA,ES,0,1303,72,72
202406,1,22041011,11215,FR,ZZZ,NA,NA,288152,9494,9623
202406,1,22041011,11215,FR,LON,FR,10,6017414,255288,255288
202406,1,22041011,11215,FR,THP,FR,10,766682,29057,29038
202406,1,22041011,11215,FR,MED,FR,10,21257,698,698
202406,1,22041011,11215,FR,DOV,FR,60,4921629,197586,197586
202406,1,22041011,11215,FR,LGP,FR,10,4759,0,142
202406,1,22041011,11215,FR,PTM,FR,10,98835,4914,4914
202406,1,22041011,11215,FR,PTM,FR,60,3446290,159123,159123
202406,1,22041011,11215,FR,MID,FR,60,43102,2516,2516
202406,1,22041011,11215,FR,HUL,FR,10,619725,22428,22428
202406,1,22041011,11215,FR,HUL,FR,60,10396,648,648
202406,1,22041011,11215,FR,IMM,FR,10,796432,43786,43786
202406,1,22041011,11215,FR,GSY,FR,10,44354,3290,2038
202406,1,22041011,11215,FR,JSY,FR,10,127425,5156,3971
202406,1,22041011,11215,FR,JSY,NL,10,894,23,23
202406,1,22041011,11215,FR,DEU,FR,60,703816,16042,16042
202406,1,22041011,11215,FR,EUT,FR,60,1787280,84711,84303
202406,1,22041011,11215,FR,LHR,FR,40,3690,95,37
202406,1,22041011,11215,FR,BHX,FR,40,8388,691,314
202406,1,22041011,11215,FR,EMA,FR,40,2558,92,3
202406,1,22041011,11215,NL,NA,FR,0,3816,15,15
202406,1,22041011,11215,NL,DOV,FR,60,6103,180,180
202406,1,22041011,11215,NL,HUL,FR,10,14909,324,324
202406,1,22041011,11215,NL,HRH,FR,60,2853,23,23
202406,1,22041011,11215,DE,NA,FR,0,1438,9,9
202406,1,22041011,11215,IT,NA,FR,0,5205,14,14
202406,1,22041011,11215,IT,NA,IT,0,21171,6216,6216
202406,1,22041011,11215,IT,THP,IT,10,1659,54,38
202406,1,22041011,11215,IT,DEU,IT,60,5056,1080,1080
202406,1,22041011,11215,IT,LSA,FR,40,1088,18,18
202406,1,22041011,11215,IE,NA,FR,0,2976,45,45
202406,1,22041011,11215,IE,ZZZ,NA,NA,6460,361,292
