perref,type,comcode,sitc,cod,port,coo,mode,value,mass,supp_unit
202410,1,22041011,11215,FR,NA,FR,0,21691506,733868,733868
202410,1,22041011,11215,FR,ZZZ,NA,NA,1252267,34621,34740
202410,1,22041011,11215,FR,LON,FR,10,12374019,626024,626024
202410,1,22041011,11215,FR,THP,FR,10,1927227,65646,65414
202410,1,22041011,11215,FR,DOV,FR,60,9419069,415844,415917
202410,1,22041011,11215,FR,LGP,FR,10,7188,54,213
202410,1,22041011,11215,FR,PTM,FR,10,97628,4914,4914
202410,1,22041011,11215,FR,PTM,FR,60,6675797,267406,267451
202410,1,22041011,11215,FR,BLY,FR,10,154739,10368,10368
202410,1,22041011,11215,FR,MID,FR,60,71751,4208,4208
202410,1,22041011,11215,FR,HUL,FR,10,1226764,64640,64640
202410,1,22041011,11215,FR,IMM,FR,10,895174,45202,45202
202410,1,22041011,11215,FR,GSY,FR,10,84145,4390,2988
202410,1,22041011,11215,FR,JSY,FR,10,31461,2022,1710
202410,1,22041011,11215,FR,DEU,FR,60,198460,8572,8574
202410,1,22041011,11215,FR,EUT,FR,60,3904170,120997,120766
202410,1,22041011,11215,FR,EUT,GB,60,8733,230,230
202410,1,22041011,11215,FR,EUT,IE,60,4562,108,108
202410,1,22041011,11215,FR,EUT,MX,60,1731,72,72
202410,1,22041011,11215,FR,KIL,FR,60,271678,15120,15120
202410,1,22041011,11215,FR,LHR,FR,40,9851,38,19
202410,1,22041011,11215,FR,LSA,GB,40,1281,22,11
202410,1,22041011,11215,FR,EMA,FR,40,6861,196,108
202410,1,22041011,11215,NL,NA,FR,0,38708,76,76
202410,1,22041011,11215,NL,LON,FR,10,5242,360,360
202410,1,22041011,11215,NL,THP,FR,10,5242,360,360
202410,1,22041011,11215,NL,IMM,FR,10,5242,360,360
202410,1,22041011,11215,DE,NA,FR,0,15512,94,94
202410,1,22041011,11215,DE,HUL,FR,10,30620,1109,1109
202410,1,22041011,11215,IT,NA,FR,0,23442,308,308
202410,1,22041011,11215,IT,EUT,FR,60,1825,15,15
202410,1,22041011,11215,IE,ZZZ,NA,NA,23190,976,648
202410,1,22041011,11215,IE,HLD,FR,60,1166,18,18
202410,1,22041011,11215,DK,NA,FR,0,96112,695,695
202410,1,22041011,11215,ES,DOV,FR,60,2381,32,32
202410,1,22041011,11215,ES,EUT,FR,60,1391,18,18
202410,1,22041011,11215,BE,NA,FR,0,106810,1431,1431
202410,1,22041011,11215,BE,LON,FR,60,271831,18527,17180
202410,1,22041011,11215,BE,MID,FR,60,86504,5589,5589
202410,1,22041011,11215,BE,HUL,FR,60,42007,2475,2475
202410,1,22041011,11215,BE,IMM,FR,60,1072074,42796,42796
202410,1,22041011,11215,SE,HUL,FR,60,8907,288,288
202410,1,22041011,11215,AT,NA,FR,0,34003,522,522
202410,1,22041011,11215,EE,NA,FR,0,7946,11,11
202410,1,22041011,11215,CZ,DOV,CZ,60,889,13,14
202410,1,22041011,11215,SK,NA,FR,0,7400,20,20
202410,1,22041013,11215,FR,DOV,ES,60,14234,3600,3600
202410,1,22041013,11215,FR,PTM,FR,60,2470,450,450
202410,1,22041013,11215,DE,LON,ES,10,122965,49257,49494
202410,1,22041013,11215,DE,THP,ES,10,8798,3447,3447
202410,1,22041013,11215,DE,AVO,ES,10,29791,11827,11865
202410,1,22041013,11215,DE,LIV,ES,10,132056,51970,52080
202410,1,22041013,11215,DE,GRK,ES,10,3967,1530,1530
202410,1,22041013,11215,IT,LON,IT,10,41537,7920,7920
202410,1,22041013,11215,IE,ZZZ,NA,NA,11,9,5
202410,1,22041013,11215,ES,NA,ES,0,98352,26155,26155
202410,1,22041013,11215,ES,ZZZ,NA,NA,29874,8738,8738
202410,1,22041013,11215,ES,LON,IT,10,17918,3168,3168
202410,1,22041013,11215,ES,LON,ES,10,1802196,573509,573509
202410,1,22041013,11215,ES,THP,ES,10,219766,72591,72591
202410,1,22041013,11215,ES,MED,ES,10,11706,3110,3110
202410,1,22041013,11215,ES,DOV,IT,60,1279,414,414
202410,1,22041013,11215,ES,DOV,ES,10,38134,12168,12168
202410,1,22041013,11215,ES,DOV,ES,60,221285,63513,63513
202410,1,22041013,11215,ES,LGP,ES,10,370198,122809,122809
202410,1,22041013,11215,ES,NHV,ES,60,1857,135,135
202410,1,22041013,11215,ES,PTM,ES,60,1157,403,403
202410,1,22041013,11215,ES,AVO,ES,10,51306,19153,19153
202410,1,22041013,11215,ES,LIV,ES,10,185273,65864,65864
202410,1,22041013,11215,ES,LIV,ES,60,236627,58802,58802
202410,1,22041013,11215,ES,GRK,ES,10,53234,19873,19873
202410,1,22041013,11215,ES,EUT,ES,60,512556,158159,158159
202410,1,22041013,11215,BE,LON,ES,60,60629,25566,25566
202410,1,22041013,11215,BE,MID,ES,60,38205,16229,16229
202410,1,22041013,11215,BE,IMM,ES,60,53372,21975,21975
202410,1,22041015,11215,FR,LON,FR,10,52543,11700,11700
202410,1,22041015,11215,FR,LON,IT,10,13313,1980,1980
202410,1,22041015,11215,FR,DOV,FR,60,2342,675,675
202410,1,22041015,11215,FR,DOV,IT,60,19826,6091,6091
202410,1,22041015,11215,FR,MID,IT,60,3762,842,842
202410,1,22041015,11215,FR,GSY,IT,10,29444,0,3607
202410,1,22041015,11215,FR,JSY,IT,10,7382,2890,1504
202410,1,22041015,11215,FR,DEU,IT,60,9322,3150,3150
202410,1,22041015,11215,FR,EUT,FR,60,2361,540,540
202410,1,22041015,11215,FR,EUT,IT,60,1771,463,450
202410,1,22041015,11215,DE,LON,IT,10,1036062,299385,299385
202410,1,22041015,11215,DE,GRG,IT,10,199981,56720,56720
202410,1,22041015,11215,DE,HUL,IT,10,187423,52324,52324
202410,1,22041015,11215,DE,IMM,IT,10,369464,106652,106652
202410,1,22041015,11215,IT,NA,IT,0,1920236,479286,479286
202410,1,22041015,11215,IT,ZZZ,NA,NA,134996,37045,33768
202410,1,22041015,11215,IT,LON,IT,10,12573444,3442860,3442860
202410,1,22041015,11215,IT,LON,IT,60,615629,142993,142993
202410,1,22041015,11215,IT,THP,IT,10,91096,21600,21600
202410,1,22041015,11215,IT,DOV,IT,10,7755,1854,1854
202410,1,22041015,11215,IT,DOV,IT,60,1111017,276920,276840
202410,1,22041015,11215,IT,LGP,IT,10,20560871,5462710,5462707
202410,1,22041015,11215,IT,PTM,IT,60,6520,998,998
