perref,type,comcode,sitc,cod,port,coo,mode,value,mass,supp_unit
202411,1,22041011,11215,FR,NA,FR,0,14663570,483298,483249
202411,1,22041011,11215,FR,ZZZ,NA,NA,697747,21709,21672
202411,1,22041011,11215,FR,LON,FR,10,17678744,844022,844022
202411,1,22041011,11215,FR,THP,FR,10,742776,41894,41625
202411,1,22041011,11215,FR,DOV,FR,60,12153269,505035,504921
202411,1,22041011,11215,FR,LGP,FR,10,13822,527,234
202411,1,22041011,11215,FR,PTM,FR,60,6051502,264554,264554
202411,1,22041011,11215,FR,MID,FR,60,24824,1575,1575
202411,1,22041011,11215,FR,HUL,FR,10,846465,44910,44910
202411,1,22041011,11215,FR,IMM,FR,10,244495,16956,16956
202411,1,22041011,11215,FR,GSY,FR,10,65719,6541,3061
202411,1,22041011,11215,FR,JSY,FR,10,42863,3234,2062
202411,1,22041011,11215,FR,DEU,FR,60,157565,2912,2912
202411,1,22041011,11215,FR,EUT,FR,60,5466954,240451,240134
202411,1,22041011,11215,FR,LHR,FR,40,11240,6,7
202411,1,22041011,11215,FR,BHX,FR,40,13672,675,675
202411,1,22041011,11215,FR,EMA,FR,40,18091,363,319
202411,1,22041011,11215,NL,NA,FR,0,151124,4343,4343
202411,1,22041011,11215,NL,LON,FR,10,191462,13320,13320
202411,1,22041011,11215,NL,THP,FR,10,175938,12240,12240
202411,1,22041011,11215,NL,DOV,FR,60,6361,79,79
202411,1,22041011,11215,NL,GRG,FR,10,46572,3240,3240
202411,1,22041011,11215,NL,HUL,FR,10,41397,2880,2880
202411,1,22041011,11215,NL,IMM,FR,10,165587,11520,11520
202411,1,22041011,11215,NL,HRH,NL,60,5636,360,360
202411,1,22041011,11215,DE,NA,FR,0,11585,221,221
202411,1,22041011,11215,DE,ZZZ,NA,NA,9236,720,720
202411,1,22041011,11215,IT,NA,FR,0,3687,9,9
202411,1,22041011,11215,IT,LON,FR,60,10365,68,68
202411,1,22041011,11215,IE,ZZZ,NA,NA,12743,935,686
202411,1,22041011,11215,DK,NA,FR,0,152391,868,868
202411,1,22041011,11215,DK,THP,FR,10,1098,15,5
202411,1,22041011,11215,PT,DOV,PT,60,311556,6471,6471
202411,1,22041011,11215,ES,NA,FR,0,14962,50,50
202411,1,22041011,11215,ES,NA,CH,0,2884,91,91
202411,1,22041011,11215,ES,DOV,FR,60,3040,54,54
202411,1,22041011,11215,ES,EUT,FR,60,1607,21,21
202411,1,22041011,11215,BE,NA,FR,0,171737,1988,1988
202411,1,22041011,11215,BE,LON,FR,10,800286,42102,42102
202411,1,22041011,11215,BE,LON,FR,60,735270,47050,47050
202411,1,22041011,11215,BE,MID,FR,10,205055,10800,10800
202411,1,22041011,11215,BE,MID,FR,60,158802,10314,10314
202411,1,22041011,11215,BE,HUL,FR,10,10595,744,315
202411,1,22041011,11215,BE,HUL,FR,60,10510,630,630
202411,1,22041011,11215,BE,IMM,FR,10,247136,12960,12960
202411,1,22041011,11215,BE,IMM,FR,60,901328,47863,47863
202411,1,22041011,11215,AT,NA,FR,0,5802,113,113
202411,1,22041011,11215,HU,LGP,HU,10,979,0,36
202411,1,22041013,11215,FR,NA,FR,0,45481,126,126
202411,1,22041013,11215,FR,DOV,ES,60,10003,1325,1325
202411,1,22041013,11215,NL,LON,ES,10,12886,2448,2448
202411,1,22041013,11215,NL,THP,ES,10,9666,1836,1836
202411,1,22041013,11215,NL,MID,ES,10,12887,2448,2448
202411,1,22041013,11215,NL,HUL,ES,10,11276,2142,2142
202411,1,22041013,11215,NL,IMM,ES,10,19330,3672,3672
202411,1,22041013,11215,DE,LON,ES,10,109495,42280,42280
202411,1,22041013,11215,DE,THP,ES,10,2976,1149,1149
202411,1,22041013,11215,DE,AVO,ES,10,26074,10087,10087
202411,1,22041013,11215,DE,LIV,ES,10,42136,16429,16429
202411,1,22041013,11215,IE,ZZZ,NA,NA,159,17,13
202411,1,22041013,11215,ES,NA,ES,0,91105,22315,22315
202411,1,22041013,11215,ES,ZZZ,NA,NA,3455,1521,1125
202411,1,22041013,11215,ES,LON,IT,10,125970,29700,29700
202411,1,22041013,11215,ES,LON,ES,10,1088220,329647,329647
202411,1,22041013,11215,ES,THP,ES,10,163402,57110,57110
202411,1,22041013,11215,ES,DOV,ES,10,25227,9108,9108
202411,1,22041013,11215,ES,DOV,ES,60,243868,76764,76764
202411,1,22041013,11215,ES,LGP,ES,10,153446,34960,34960
202411,1,22041013,11215,ES,AVO,ES,10,7579,2898,2898
202411,1,22041013,11215,ES,LIV,ES,10,113278,41958,41958
202411,1,22041013,11215,ES,LIV,ES,60,75933,22554,25639
202411,1,22041013,11215,ES,GRK,ES,10,196179,68457,68457
202411,1,22041013,11215,ES,DEU,ES,60,10179,3726,3726
202411,1,22041013,11215,ES,EUT,ES,60,721257,201539,201539
202411,1,22041013,11215,BE,LON,ES,60,167946,72760,72760
202411,1,22041013,11215,BE,MID,ES,60,77765,33431,33431
202411,1,22041013,11215,BE,IMM,ES,60,81640,35812,35812
202411,1,22041015,11215,FR,DOV,FR,60,1096,288,288
202411,1,22041015,11215,FR,DOV,IT,60,46533,11053,11053
202411,1,22041015,11215,FR,MID,IT,60,14678,3341,3341
202411,1,22041015,11215,FR,GSY,IT,10,8426,0,720
202411,1,22041015,11215,FR,JSY,IT,10,24182,7907,4657
202411,1,22041015,11215,FR,JSY,ES,10,993,450,270
202411,1,22041015,11215,FR,EUT,FR,60,20435,6300,6300
202411,1,22041015,11215,FR,EUT,IT,60,2617,198,198
202411,1,22041015,11215,NL,LON,IT,10,67705,21780,21780
202411,1,22041015,11215,NL,LON,IT,60,33880,8460,8460
202411,1,22041015,11215,NL,THP,IT,10,49240,15840,15840
202411,1,22041015,11215,NL,GRG,IT,10,20899,6723,6723
202411,1,22041015,11215,NL,HUL,IT,10,29544,9504,9504
202411,1,22041015,11215,NL,IMM,IT,10,27082,8712,8712
202411,1,22041015,11215,DE,ZZZ,NA,NA,15761,4374,4374
202411,1,22041015,11215,DE,LON,IT,10,1472085,477154,477154
202411,1,22041015,11215,DE,GRG,IT,10,372666,118302,118302
202411,1,22041015,11215,DE,IMM,IT,10,563459,185278,185278
202411,1,22041015,11215,IT,NA,IT,0,1366460,351333,351333
202411,1,22041015,11215,IT,ZZZ,NA,NA,74653,21001,18407
202411,1,22041015,11215,IT,LON,IT,10,8627606,2280643,2269573
202411,1,22041015,11215,IT,LON,IT,60,443296,124507,124503
202411,1,22041015,11215,IT,DOV,FR,60,2948,836,720
202411,1,22041015,11215,IT,DOV,IT,10,46930,12735,12735
202411,1,22041015,11215,IT,DOV,IT,60,1482160,357215,356401
202411,1,22041015,11215,IT,DOV,ES,60,2905,882,882
202411,1,22041015,11215,IT,LGP,IT,10,27725243,7544010,7544010
202411,1,22041015,11215,IT,PTM,IT,60,18319,4725,4725
202411,1,22041015,11215,IT,GRG,IT,10,99382,26807,26807
202411,1,22041015,11215,IT,MID,IT,10,267498,82869,82869
202411,1,22041015,11215,IT,MID,IT,60,284572,83819,83819
202411,1,22041015,11215,IT,HUL,IT,10,2398840,699015,699015
202411,1,22041015,11215,IT,HUL,IT,60,192580,46365,46365
202411,1,22041015,11215,IT,IMM,IT,10,1530704,455881,455881
202411,1,22041015,11215,IT,DEU,IT,60,4683,931,931
202411,1,22041015,11215,IT,EUT,IT,60,129208,34976,34526
202411,1,22041015,11215,IT,KIL,IT,10,18468,4678,4678
202411,1,22041015,11215,IT,KIL,IT,60,1098561,258247,258247
202411,1,22041015,11215,IT,PUF,IT,10,9715,1909,1909
202411,1,22041015,11215,IT,PUF,IT,60,500106,146252,146252
202411,1,22041015,11215,IT,LSA,IT,40,998,245,245
202411,1,22041015,11215,IT,EMA,IT,40,1015,180,180
202411,1,22041015,11215,IE,ZZZ,NA,NA,11325,2050,2002
202411,1,22041015,11215,ES,NA,ES,0,1049,360,360
202411,1,22041015,11215,ES,LON,IT,10,73527,18000,18000
202411,1,22041015,11215,ES,LGP,IT,10,42862,12420,12420
202411,1,22041015,11215,ES,LIV,IT,10,8781,2250,2250
202411,1,22041015,11215,ES,LIV,ES,10,10600,2700,2700
