perref,type,comcode,sitc,cod,port,coo,mode,value,mass,supp_unit
202501,1,22041011,11215,FR,NA,FR,0,9479317,347369,347342
202501,1,22041011,11215,FR,ZZZ,NA,NA,769077,23731,23896
202501,1,22041011,11215,FR,LON,FR,10,3268473,138037,138037
202501,1,22041011,11215,FR,THP,FR,10,13939,648,297
202501,1,22041011,11215,FR,MED,FR,10,176837,5697,5697
202501,1,22041011,11215,FR,DOV,FR,10,243212,2903,2903
202501,1,22041011,11215,FR,DOV,FR,60,6489126,304497,304497
202501,1,22041011,11215,FR,LGP,FR,10,873,8,3
202501,1,22041011,11215,FR,PTM,FR,60,1737391,86099,86099
202501,1,22041011,11215,FR,MID,FR,60,44551,2745,2745
202501,1,22041011,11215,FR,HUL,FR,10,820422,44735,44735
202501,1,22041011,11215,FR,GSY,FR,10,4675,2466,252
202501,1,22041011,11215,FR,JSY,FR,10,12495,897,671
202501,1,22041011,11215,FR,DEU,FR,60,22524,1040,995
202501,1,22041011,11215,FR,EUT,FR,60,1465986,77991,77991
202501,1,22041011,11215,FR,EMA,FR,40,936,2,27
202501,1,22041011,11215,NL,NA,FR,0,63045,367,367
202501,1,22041011,11215,NL,LON,FR,10,123422,8640,8640
202501,1,22041011,11215,NL,THP,FR,10,88413,6143,6143
202501,1,22041011,11215,NL,DOV,FR,10,97710,6840,6840
202501,1,22041011,11215,NL,GRG,FR,10,10286,720,720
202501,1,22041011,11215,NL,HUL,FR,10,20570,1440,1440
202501,1,22041011,11215,NL,IMM,FR,10,131762,9061,9041
202501,1,22041011,11215,NL,HRH,FR,60,9694,364,364
202501,1,22041011,11215,DE,NA,FR,0,8696,99,99
202501,1,22041011,11215,DE,ZZZ,NA,NA,18898,1080,1080
202501,1,22041011,11215,IT,NA,FR,0,16426,84,84
202501,1,22041011,11215,IT,EMA,IT,40,2230,49,27
202501,1,22041011,11215,IE,NA,FR,0,16587,18,18
202501,1,22041011,11215,IE,ZZZ,NA,NA,6533,670,471
202501,1,22041011,11215,IE,HLD,FR,60,1417,40,40
202501,1,22041011,11215,DK,NA,FR,0,24413,258,258
202501,1,22041011,11215,ES,NA,FR,0,2008,32,32
202501,1,22041011,11215,ES,DOV,FR,60,1350,26,26
202501,1,22041011,11215,BE,NA,FR,0,267668,3776,3776
202501,1,22041011,11215,BE,LON,FR,60,163961,10310,10310
202501,1,22041011,11215,BE,MID,FR,60,48650,3065,3065
202501,1,22041011,11215,BE,IMM,FR,60,185386,9915,9915
202501,1,22041011,11215,SE,EUT,FR,60,16626,657,657
202501,1,22041011,11215,AT,NA,FR,0,7164,128,128
202501,1,22041013,11215,FR,ZZZ,NA,NA,38,37,24
202501,1,22041013,11215,FR,JSY,ES,10,1852,518,518
202501,1,22041013,11215,IE,ZZZ,NA,NA,934,23,11
202501,1,22041013,11215,ES,NA,ES,0,90972,22690,22690
202501,1,22041013,11215,ES,ZZZ,NA,NA,33486,9667,9692
202501,1,22041013,11215,ES,LON,ES,10,217900,68319,68319
202501,1,22041013,11215,ES,THP,FR,10,22381,7650,7650
202501,1,22041013,11215,ES,THP,ES,10,252717,80391,80391
