perref,type,comcode,sitc,cod,port,coo,mode,value,mass,supp_unit
202305,1,22041011,11215,FR,NA,FR,0,21755657,760273,760120
202305,1,22041011,11215,FR,NA,NL,0,874,5,5
202305,1,22041011,11215,FR,NA,IT,0,3810,2,2
202305,1,22041011,11215,FR,ZZZ,NA,NA,559835,15677,15708
202305,1,22041011,11215,FR,LON,FR,10,5744622,258931,258931
202305,1,22041011,11215,FR,THP,FR,10,403751,18303,18227
202305,1,22041011,11215,FR,MED,FR,10,131225,5617,5617
202305,1,22041011,11215,FR,MED,FR,60,36584,2111,2111
202305,1,22041011,11215,FR,DOV,FR,10,232139,6998,6998
202305,1,22041011,11215,FR,DOV,FR,60,1806960,78998,78998
202305,1,22041011,11215,FR,LGP,FR,10,6712,213,232
202305,1,22041011,11215,FR,NHV,FR,60,96262,4914,4914
202305,1,22041011,11215,FR,PTM,FR,60,726575,35120,35120
202305,1,22041011,11215,FR,MID,FR,60,26071,1764,1764
202305,1,22041011,11215,FR,HUL,FR,10,233367,7813,7813
202305,1,22041011,11215,FR,IMM,FR,10,372707,14469,14469
202305,1,22041011,11215,FR,JSY,JE,10,228685,22351,22351
202305,1,22041011,11215,FR,DEU,FR,60,9783,311,311
202305,1,22041011,11215,FR,EUT,FR,60,2370358,126240,124633
202305,1,22041011,11215,FR,EUT,IT,60,6036,540,540
202305,1,22041011,11215,FR,KIL,FR,60,148702,9072,9072
202305,1,22041011,11215,FR,LHR,FR,40,5564,305,41
202305,1,22041011,11215,FR,EMA,FR,40,4193,54,119
202305,1,22041011,11215,NL,NA,FR,0,64550,222,222
202305,1,22041011,11215,NL,LON,FR,10,71228,5760,5760
202305,1,22041011,11215,NL,THP,FR,10,62464,5040,5040
202305,1,22041011,11215,NL,DOV,FR,60,52050,237,237
202305,1,22041011,11215,NL,TEP,FR,10,106095,287,287
202305,1,22041011,11215,NL,GRG,FR,10,32624,2520,2520
202305,1,22041011,11215,NL,IMM,FR,10,27477,2160,2160
202305,1,22041011,11215,DE,NA,FR,0,15354,89,89
202305,1,22041011,11215,IT,NA,FR,0,40774,119,119
202305,1,22041011,11215,IT,NA,IT,0,18201,5670,5670
202305,1,22041011,11215,IT,EUT,FR,60,11246,684,684
202305,1,22041011,11215,IE,NA,FR,0,3584,20,20
202305,1,22041011,11215,IE,ZZZ,NA,NA,2271,198,193
202305,1,22041011,11215,DK,NA,FR,0,5677,23,23
202305,1,22041011,11215,PT,NA,FR,0,61692,5153,5153
202305,1,22041011,11215,ES,NA,FR,0,2596,54,54
202305,1,22041011,11215,ES,MED,FR,10,91608,5733,5733
202305,1,22041011,11215,BE,NA,FR,0,1011050,11131,11131
202305,1,22041011,11215,BE,LON,FR,60,286745,16299,16299
202305,1,22041011,11215,BE,MID,FR,60,37099,2196,2196
202305,1,22041011,11215,BE,IMM,FR,60,185018,8096,8096
202305,1,22041011,11215,AT,NA,FR,0,900,5,5
202305,1,22041011,11215,CZ,NA,FR,0,2104,7,7
202305,1,22041013,11215,FR,DOV,ES,60,4901,1215,1215
202305,1,22041013,11215,FR,PTM,FR,60,2116,360,360
202305,1,22041013,11215,FR,PTM,ES,60,1972,495,495
202305,1,22041013,11215,IE,ZZZ,NA,NA,28,20,10
202305,1,22041013,11215,PT,LIV,ES,10,18269,8694,8694
202305,1,22041013,11215,ES,NA,IT,0,13299,5024,5024
202305,1,22041013,11215,ES,NA,ES,0,438368,143800,143800
202305,1,22041013,11215,ES,ZZZ,NA,NA,2104,646,540
202305,1,22041013,11215,ES,LON,ES,10,199304,70063,70138
202305,1,22041013,11215,ES,THP,ES,10,279453,108682,97723
202305,1,22041013,11215,ES,MED,ES,10,3374,990,990
202305,1,22041013,11215,ES,DOV,ES,60,17340,5100,5100
202305,1,22041013,11215,ES,NHV,ES,60,1817,459,459
202305,1,22041013,11215,ES,AVO,ES,10,72541,33552,33647
202305,1,22041013,11215,ES,LIV,ES,10,1464913,539077,538426
202305,1,22041013,11215,ES,LIV,ES,60,26331,11961,11961
202305,1,22041013,11215,ES,GRK,ES,10,39231,16164,16188
202305,1,22041013,11215,ES,MID,ES,10,20681,9936,9936
202305,1,22041013,11215,ES,DEU,ES,60,2118,473,473
202305,1,22041013,11215,ES,EUT,ES,60,10135,2629,2629
202305,1,22041013,11215,BE,LON,ES,60,80703,35271,35271
202305,1,22041013,11215,BE,MID,ES,60,31816,14153,14153
202305,1,22041013,11215,BE,HUL,ES,60,11420,5203,5203
202305,1,22041013,11215,BE,IMM,ES,60,36579,16067,16067
202305,1,22041015,11215,FR,NA,IT,0,6041,1035,1035
202305,1,22041015,11215,FR,LON,IT,60,42271,11700,11700
202305,1,22041015,11215,FR,DOV,IT,10,44051,11741,11741
202305,1,22041015,11215,FR,DOV,IT,60,41297,7853,7853
202305,1,22041015,11215,FR,PTM,IT,60,2244,558,558
202305,1,22041015,11215,FR,MID,IT,60,6497,1490,1490
202305,1,22041015,11215,FR,EUT,FR,60,4452,907,907
202305,1,22041015,11215,FR,EUT,IT,60,4009,751,751
202305,1,22041015,11215,NL,LON,IT,10,46826,7200,7200
202305,1,22041015,11215,NL,THP,IT,10,23479,3600,3600
202305,1,22041015,11215,NL,HUL,IT,10,39663,12870,12870
202305,1,22041015,11215,NL,IMM,IT,10,16390,2520,2520
202305,1,22041015,11215,IT,NA,FR,0,8482,1980,1980
202305,1,22041015,11215,IT,NA,IT,0,8035822,2004533,2003650
202305,1,22041015,11215,IT,ZZZ,NA,NA,41153,10225,10296
202305,1,22041015,11215,IT,LON,FR,60,35276,9900,9900
202305,1,22041015,11215,IT,LON,IT,10,5278477,1325546,1325546
202305,1,22041015,11215,IT,LON,IT,60,518664,129226,129226
202305,1,22041015,11215,IT,THP,IT,10,250246,62973,62973
202305,1,22041015,11215,IT,MED,IT,60,43152,11700,11700
202305,1,22041015,11215,IT,DOV,FR,60,6849,1296,1296
202305,1,22041015,11215,IT,DOV,IT,10,43223,9900,9900
202305,1,22041015,11215,IT,DOV,IT,60,730091,159085,157735
202305,1,22041015,11215,IT,LGP,IT,10,9080025,2290278,2290265
202305,1,22041015,11215,IT,LGP,PT,10,40500,11853,11853
202305,1,22041015,11215,IT,PTM,IT,60,8007,1634,1634
202305,1,22041015,11215,IT,GRG,IT,10,626247,174166,174166
202305,1,22041015,11215,IT,BLY,IT,10,591040,138992,138992
202305,1,22041015,11215,IT,MID,IT,10,278209,73124,73124
202305,1,22041015,11215,IT,MID,IT,60,53040,12134,12134
202305,1,22041015,11215,IT,HUL,IT,10,1285167,350135,350135
202305,1,22041015,11215,IT,HUL,IT,60,151120,50451,38651
202305,1,22041015,11215,IT,IMM,IT,10,356906,62996,62996
202305,1,22041015,11215,IT,IMM,IT,60,108932,25740,25740
202305,1,22041015,11215,IT,HRH,IT,10,23481,4224,4224
