perref,type,comcode,sitc,cod,port,coo,mode,value,mass,supp_unit
202310,1,22041011,11215,FR,NA,FR,0,18053576,610649,610559
202310,1,22041011,11215,FR,ZZZ,NA,NA,668894,19946,19523
202310,1,22041011,11215,FR,LON,FR,10,11570202,499735,499735
202310,1,22041011,11215,FR,LON,FR,60,128214,6731,6746
202310,1,22041011,11215,FR,THP,FR,10,4476700,182843,182827
202310,1,22041011,11215,FR,DOV,FR,10,77468,4266,4266
202310,1,22041011,11215,FR,DOV,FR,60,7964259,363771,363586
202310,1,22041011,11215,FR,DOV,DE,60,144973,6957,6957
202310,1,22041011,11215,FR,DOV,IT,60,9963,234,234
202310,1,22041011,11215,FR,LGP,FR,10,8055,370,276
202310,1,22041011,11215,FR,NHV,FR,60,187119,4095,4095
202310,1,22041011,11215,FR,PTM,FR,60,5941835,258580,258580
202310,1,22041011,11215,FR,MID,FR,60,44998,2808,2808
202310,1,22041011,11215,FR,HUL,FR,10,2310488,120825,120825
202310,1,22041011,11215,FR,GSY,FR,10,10853,1334,541
202310,1,22041011,11215,FR,JSY,JE,10,74220,4041,4041
202310,1,22041011,11215,FR,DEU,FR,60,26551,1355,1355
202310,1,22041011,11215,FR,EUT,FR,60,5075316,206896,205489
202310,1,22041011,11215,FR,BHX,FR,40,4878,360,182
202310,1,22041011,11215,FR,LSA,FR,40,3198,16,10
202310,1,22041011,11215,FR,EMA,FR,40,2128,1,22
202310,1,22041011,11215,NL,LON,FR,10,20011,1440,1440
202310,1,22041011,11215,NL,DOV,FR,60,6292,90,90
202310,1,22041011,11215,NL,HUL,FR,10,4996,360,360
202310,1,22041011,11215,DE,NA,FR,0,978,5,5
202310,1,22041011,11215,DE,GRG,GB,10,1885,200,23
202310,1,22041011,11215,IT,NA,FR,0,17594,53,53
202310,1,22041011,11215,IT,NA,IT,0,49266,13321,13321
202310,1,22041011,11215,IT,DOV,FR,60,47838,1086,1086
202310,1,22041011,11215,IT,EUT,IT,60,9069,2700,2700
202310,1,22041011,11215,IT,EMA,IT,40,1976,0,14
202310,1,22041011,11215,IE,NA,FR,0,8110,42,42
202310,1,22041011,11215,IE,ZZZ,NA,NA,12240,451,412
202310,1,22041011,11215,IE,HLD,FR,60,4428,32,32
202310,1,22041011,11215,DK,NA,FR,0,166636,366,366
202310,1,22041011,11215,DK,THP,FR,10,873,11,2
202310,1,22041011,11215,DK,LSA,FR,40,1353,13,5
202310,1,22041011,11215,ES,NA,FR,0,14736,105,105
202310,1,22041011,11215,ES,LON,FR,10,319948,10080,10080
202310,1,22041011,11215,BE,NA,FR,0,377491,1863,1863
202310,1,22041011,11215,BE,LON,FR,60,1197832,55107,55107
202310,1,22041011,11215,BE,MID,FR,60,96898,5445,5445
202310,1,22041011,11215,BE,HUL,FR,60,42112,2520,2520
202310,1,22041011,11215,BE,IMM,FR,60,545557,28743,28743
202310,1,22041011,11215,SE,DOV,FR,60,3661,158,158
202310,1,22041011,11215,AT,NA,FR,0,40213,122,122
202310,1,22041011,11215,EE,NA,FR,0,2668,5,5
202310,1,22041011,11215,PL,HUL,PL,60,6407,180,180
202310,1,22041011,11215,HU,DOV,HU,60,1532,518,518
202310,1,22041013,11215,FR,DOV,ES,60,3003,572,572
202310,1,22041013,11215,FR,PTM,ES,60,1370,347,347
202310,1,22041013,11215,IT,NA,IT,0,924,180,180
202310,1,22041013,11215,IE,ZZZ,NA,NA,3,2,1
202310,1,22041013,11215,ES,NA,ES,0,65762,19101,19101
202310,1,22041013,11215,ES,ZZZ,NA,NA,45536,16858,16914
202310,1,22041013,11215,ES,LON,FR,60,22321,5400,5400
202310,1,22041013,11215,ES,LON,ES,10,1278839,473139,473139
202310,1,22041013,11215,ES,LON,ES,60,55842,22500,22500
202310,1,22041013,11215,ES,THP,ES,10,663231,227362,227362
202310,1,22041013,11215,ES,MED,ES,10,1657,495,495
202310,1,22041013,11215,ES,DOV,ES,10,14830,4176,4176
202310,1,22041013,11215,ES,DOV,ES,60,46746,7188,7188
202310,1,22041013,11215,ES,AVO,ES,10,79480,35103,35103
202310,1,22041013,11215,ES,LIV,FR,10,24513,9900,9900
202310,1,22041013,11215,ES,LIV,ES,10,1083994,453164,453164
202310,1,22041013,11215,ES,LIV,ES,60,126973,43308,43308
202310,1,22041013,11215,ES,GRK,ES,10,88011,32233,32233
202310,1,22041013,11215,ES,DAG,ES,10,314030,76064,76064
202310,1,22041013,11215,ES,EUT,ES,60,22869,2500,2500
202310,1,22041013,11215,BE,LON,ES,60,135378,56163,56163
202310,1,22041013,11215,BE,MID,ES,60,85806,35577,35577
202310,1,22041013,11215,BE,HUL,ES,60,22599,9335,9335
202310,1,22041013,11215,BE,IMM,ES,60,103426,42846,42846
202310,1,22041013,11215,SE,DOV,ES,60,7637,1800,1800
202310,1,22041015,11215,FR,NA,IT,0,1567,270,270
202310,1,22041015,11215,FR,LON,IT,60,47306,11700,11700
202310,1,22041015,11215,FR,DOV,FR,60,21525,4140,4140
202310,1,22041015,11215,FR,DOV,IT,60,18915,4281,4280
202310,1,22041015,11215,FR,PTM,IT,60,1249,360,360
202310,1,22041015,11215,FR,MID,IT,60,4678,1080,1080
202310,1,22041015,11215,FR,GSY,FR,10,880,1583,108
202310,1,22041015,11215,FR,EUT,FR,60,43036,11700,11700
202310,1,22041015,11215,FR,EUT,IT,60,13039,1958,1958
202310,1,22041015,11215,IT,NA,FR,0,3697,963,963
202310,1,22041015,11215,IT,NA,IT,0,1523127,368322,368301
202310,1,22041015,11215,IT,ZZZ,NA,NA,267769,64812,62962
202310,1,22041015,11215,IT,LON,IT,10,4638902,1260207,1260207
202310,1,22041015,11215,IT,LON,IT,60,535942,124229,124229
202310,1,22041015,11215,IT,THP,IT,10,357168,92390,92390
202310,1,22041015,11215,IT,MED,IT,10,11798,1350,1350
202310,1,22041015,11215,IT,DOV,IT,10,62337,11730,11730
202310,1,22041015,11215,IT,DOV,IT,60,1381848,303185,302597
202310,1,22041015,11215,IT,LGP,IT,10,19339773,5060521,5060530
202310,1,22041015,11215,IT,PTM,IT,60,32133,6983,6983
202310,1,22041015,11215,IT,GRG,IT,10,548720,151720,151720
202310,1,22041015,11215,IT,BLY,IT,10,131839,27569,27569
202310,1,22041015,11215,IT,MID,IT,10,290712,84928,84928
202310,1,22041015,11215,IT,MID,IT,60,539572,139547,139547
202310,1,22041015,11215,IT,HUL,IT,10,1980521,556850,556850
202310,1,22041015,11215,IT,HUL,IT,60,267514,56334,56334
202310,1,22041015,11215,IT,IMM,FR,10,39867,11700,11700
202310,1,22041015,11215,IT,IMM,IT,10,1272305,346256,346256
202310,1,22041015,11215,IT,IMM,IT,60,678252,159639,159639
202310,1,22041015,11215,IT,HRH,IT,10,56747,13024,13024
202310,1,22041015,11215,IT,HRH,IT,60,6121,1440,1440
