perref,type,comcode,sitc,cod,port,coo,mode,value,mass,supp_unit
202401,1,22041011,11215,FR,NA,FR,0,14016123,400242,396657
202401,1,22041011,11215,FR,ZZZ,NA,NA,1446476,28592,26697
202401,1,22041011,11215,FR,LON,FR,10,2726758,110680,110680
202401,1,22041011,11215,FR,LON,FR,60,266357,7803,7803
202401,1,22041011,11215,FR,THP,FR,10,2324744,70056,70056
202401,1,22041011,11215,FR,DOV,FR,10,832536,11733,11733
202401,1,22041011,11215,FR,DOV,FR,60,3412234,145114,145116
202401,1,22041011,11215,FR,LGP,FR,10,2274,90,81
202401,1,22041011,11215,FR,PTM,FR,10,87209,2646,2646
202401,1,22041011,11215,FR,PTM,FR,60,1119341,61827,61827
202401,1,22041011,11215,FR,MID,FR,60,13486,882,882
202401,1,22041011,11215,FR,HUL,FR,10,528073,28512,28512
202401,1,22041011,11215,FR,IMM,FR,60,19156,1152,1152
202401,1,22041011,11215,FR,JSY,JE,10,20289,3244,3244
202401,1,22041011,11215,FR,DEU,FR,60,221838,10310,10313
202401,1,22041011,11215,FR,EUT,FR,60,1286614,68237,68237
202401,1,22041011,11215,FR,LHR,FR,40,4946,16,8
202401,1,22041011,11215,FR,EMA,FR,40,4260,14,130
202401,1,22041011,11215,NL,NA,FR,0,9526,38,38
202401,1,22041011,11215,NL,LON,FR,10,430781,27720,27720
202401,1,22041011,11215,NL,THP,FR,10,352486,22680,22680
202401,1,22041011,11215,NL,GRG,FR,10,39170,2520,2520
202401,1,22041011,11215,NL,MID,FR,10,78331,5040,5040
202401,1,22041011,11215,NL,HUL,FR,10,290951,18720,18720
202401,1,22041011,11215,NL,IMM,FR,10,139867,9000,9000
202401,1,22041011,11215,DE,NA,FR,0,7791,33,33
202401,1,22041011,11215,DE,ZZZ,NA,NA,5476,360,360
202401,1,22041011,11215,DE,THP,FR,10,56783,1620,1620
202401,1,22041011,11215,IT,NA,FR,0,10475,64,64
202401,1,22041011,11215,IT,NA,IT,0,17988,1134,1134
202401,1,22041011,11215,IT,LON,FR,10,28132,1512,1512
202401,1,22041011,11215,IT,DOV,IT,60,2439,90,90
202401,1,22041011,11215,IE,ZZZ,NA,NA,5643,258,233
202401,1,22041011,11215,IE,HLD,FR,60,2711,18,18
202401,1,22041011,11215,DK,NA,FR,0,29156,86,86
202401,1,22041011,11215,ES,NA,FR,0,1757,14,14
202401,1,22041011,11215,BE,NA,FR,0,170676,674,674
202401,1,22041011,11215,BE,LON,FR,60,1097886,54306,54306
202401,1,22041011,11215,BE,MID,FR,60,106523,6282,6282
202401,1,22041011,11215,BE,HUL,FR,60,21239,1260,1260
202401,1,22041011,11215,BE,IMM,FR,60,170714,11169,11169
202401,1,22041011,11215,AT,NA,FR,0,26797,26,26
202401,1,22041013,11215,FR,DOV,ES,60,5743,923,923
202401,1,22041013,11215,DE,ZZZ,NA,NA,2142,765,765
202401,1,22041013,11215,DE,LON,ES,10,111137,47822,47822
202401,1,22041013,11215,DE,THP,ES,10,13995,5739,5739
202401,1,22041013,11215,DE,AVO,ES,10,59395,25634,25634
202401,1,22041013,11215,DE,LIV,ES,10,83921,35962,35962
202401,1,22041013,11215,DE,GRK,ES,10,13990,6121,6121
202401,1,22041013,11215,IT,MID,ES,10,6907,2516,2516
202401,1,22041013,11215,ES,NA,ES,0,14512,3700,3700
202401,1,22041013,11215,ES,ZZZ,NA,NA,5753,2053,2066
202401,1,22041013,11215,ES,LON,ES,10,482394,141482,141482
202401,1,22041013,11215,ES,LON,ES,60,5808,1215,1215
202401,1,22041013,11215,ES,THP,ES,10,522183,181275,181275
202401,1,22041013,11215,ES,DOV,ES,60,114428,32047,32050
202401,1,22041013,11215,ES,PTM,ES,60,8963,2700,2700
202401,1,22041013,11215,ES,AVO,ES,10,22180,9900,9900
202401,1,22041013,11215,ES,LIV,ES,10,851211,307110,307110
202401,1,22041013,11215,ES,LIV,ES,60,98605,36385,36385
202401,1,22041013,11215,ES,GRK,ES,10,13757,3250,3250
202401,1,22041013,11215,ES,DEU,ES,60,2340,450,450
202401,1,22041013,11215,ES,EUT,ES,60,40850,17883,17883
202401,1,22041013,11215,BE,LON,ES,60,45068,19814,19814
202401,1,22041013,11215,BE,MID,ES,60,7384,3062,3062
202401,1,22041013,11215,BE,HUL,ES,60,2750,1224,1224
202401,1,22041013,11215,BE,IMM,ES,60,39902,17744,17744
202401,1,22041013,11215,PL,ZZZ,NA,NA,2026,324,324
202401,1,22041015,11215,FR,LON,IT,10,11818,1485,1485
202401,1,22041015,11215,FR,DOV,IT,60,13232,3240,3240
202401,1,22041015,11215,FR,PTM,IT,60,1312,257,257
202401,1,22041015,11215,FR,MID,IT,60,9358,2160,2160
202401,1,22041015,11215,FR,EUT,FR,60,11238,2700,2700
202401,1,22041015,11215,DE,LON,IT,10,1326123,356974,356974
202401,1,22041015,11215,DE,GRG,IT,10,297355,78857,78857
202401,1,22041015,11215,DE,HUL,IT,10,610067,160966,160966
202401,1,22041015,11215,DE,IMM,IT,10,379647,100226,100226
202401,1,22041015,11215,DE,HRH,IT,60,33026,4050,4050
202401,1,22041015,11215,IT,NA,IT,0,793121,196738,196654
202401,1,22041015,11215,IT,ZZZ,NA,NA,102659,27079,26895
202401,1,22041015,11215,IT,LON,IT,10,2848894,737977,737975
202401,1,22041015,11215,IT,LON,IT,60,692022,157659,157659
202401,1,22041015,11215,IT,DOV,IT,10,25890,6065,6065
202401,1,22041015,11215,IT,DOV,IT,60,1139999,287163,287163
202401,1,22041015,11215,IT,LGP,IT,10,5922233,1492465,1492465
202401,1,22041015,11215,IT,PTM,IT,60,14642,2957,2957
202401,1,22041015,11215,IT,GRG,IT,10,256706,77553,77553
202401,1,22041015,11215,IT,BLY,IT,10,108873,31046,31046
202401,1,22041015,11215,IT,MID,IT,10,55672,14406,14406
202401,1,22041015,11215,IT,MID,IT,60,59557,14769,14769
202401,1,22041015,11215,IT,HUL,IT,10,924113,267813,267813
202401,1,22041015,11215,IT,HUL,IT,60,249469,53100,53100
202401,1,22041015,11215,IT,IMM,IT,10,391369,91770,91770
202401,1,22041015,11215,IT,IMM,IT,60,66493,17217,17217
202401,1,22041015,11215,IT,HRH,IT,10,26843,8910,8910
202401,1,22041015,11215,IT,HRH,IT,60,39789,10350,10350
202401,1,22041015,11215,IT,EUT,IT,60,247139,66135,65709
202401,1,22041015,11215,IT,KIL,IT,60,189680,38829,38829
202401,1,22041015,11215,IT,PUF,IT,10,109009,23660,23660
202401,1,22041015,11215,IT,PUF,IT,60,308962,71639,71639
202401,1,22041015,11215,IT,LHR,IT,40,2882,730,730
202401,1,22041015,11215,IE,ZZZ,NA,NA,8280,1581,1566
202401,1,22041015,11215,ES,LON,IT,10,90809,20322,20322
202401,1,22041015,11215,ES,LON,IT,60,30595,7200,7200
202401,1,22041015,11215,ES,THP,IT,10,30054,6653,6653
202401,1,22041015,11215,ES,DOV,IT,60,15109,1710,1710
202401,1,22041015,11215,ES,LIV,IT,10,26266,5850,5850
202401,1,22041015,11215,BE,LON,IT,60,1616382,454267,454267
202401,1,22041015,11215,BE,MID,IT,60,401520,102710,102710
202401,1,22041015,11215,BE,HUL,IT,60,7330,1567,1567
202401,1,22041015,11215,BE,IMM,IT,60,847245,220100,220100
202401,1,22041091,11215,FR,ZZZ,NA,NA,36,9,12
202401,1,22041091,11215,FR,LON,IT,10,1912,270,270
202401,1,22041091,11215,DE,LON,IT,10,147053,47039,47039
202401,1,22041091,11215,DE,GRG,IT,10,24068,7698,7698
202401,1,22041091,11215,DE,HUL,IT,10,61483,19669,19669
202401,1,22041091,11215,DE,IMM,IT,10,26740,8552,8552
202401,1,22041091,11215,IT,NA,IT,0,1719,518,518
202401,1,22041091,11215,IT,LON,IT,10,21361,6728,6728
202401,1,22041091,11215,IT,LON,IT,60,6871,1117,1117
202401,1,22041091,11215,IT,LGP,IT,10,24916,6750,6750
202401,1,22041091,11215,IT,CVT,IT,40,752808,186947,186947
202401,1,22041091,11215,BE,LON,IT,60,141110,49494,49494
202401,1,22041091,11215,BE,MID,IT,60,36851,12601,12601
202401,1,22041091,11215,BE,IMM,IT,60,79754,28307,28307
202401,1,22041093,11215,FR,NA,FR,0,68283,9179,9179
202401,1,22041093,11215,FR,ZZZ,NA,NA,5688,2124,1197
202401,1,22041093,11215,FR,LON,FR,10,770785,154044,154044
202401,1,22041093,11215,FR,LON,FR,60,6291,1215,1215
202401,1,22041093,11215,FR,THP,FR,10,91428,21096,21096
202401,1,22041093,11215,FR,DOV,FR,60,182808,29113,29113
202401,1,22041093,11215,FR,PTM,FR,60,143580,24847,24847
202401,1,22041093,11215,FR,MID,FR,60,3541,504,504
202401,1,22041093,11215,FR,HUL,FR,10,169228,34809,34809
202401,1,22041093,11215,FR,DEU,FR,60,48240,7371,7371
202401,1,22041093,11215,FR,EUT,FR,60,45366,7565,7565
202401,1,22041093,11215,FR,LSA,FR,40,1426,0,5
202401,1,22041093,11215,IT,NA,IT,0,44004,9281,9281
202401,1,22041093,11215,IT,ZZZ,NA,NA,1059,342,180
202401,1,22041093,11215,IT,LON,IT,10,4830,1350,1350
202401,1,22041093,11215,IT,DOV,IT,60,34114,4770,4770
202401,1,22041093,11215,IT,LGP,IT,10,25201,5850,5850
202401,1,22041093,11215,IT,GRG,IT,10,12595,3600,3600
202401,1,22041093,11215,IT,MID,IT,10,3656,1026,1026
202401,1,22041093,11215,IT,IMM,IT,10,1103,72,72
202401,1,22041093,11215,IT,DEU,IT,60,2019,90,90
202401,1,22041093,11215,IT,EUT,IT,60,18538,4005,4005
202401,1,22041093,11215,IE,ZZZ,NA,NA,677,141,136
202401,1,22041093,11215,PT,EUT,PT,60,2318,338,338
202401,1,22041093,11215,ES,NA,ES,0,6187,360,360
202401,1,22041093,11215,ES,ZZZ,NA,NA,14158,2876,1639
202401,1,22041093,11215,ES,LON,ES,10,92160,6653,6653
202401,1,22041093,11215,ES,THP,ES,10,2391,495,495
202401,1,22041093,11215,ES,EUT,ES,60,1244,76,76
202401,1,22041093,11215,BE,LON,FR,10,100405,22914,22914
202401,1,22041093,11215,BE,LON,FR,60,116580,24323,24323
202401,1,22041093,11215,BE,MID,FR,10,11994,2736,2736
202401,1,22041093,11215,BE,MID,FR,60,2187,396,396
202401,1,22041093,11215,BE,HUL,FR,60,2811,414,414
202401,1,22041093,11215,BE,IMM,FR,10,49474,11286,11286
202401,1,22041093,11215,BE,IMM,FR,60,12807,2034,2034
202401,1,22041093,11215,CZ,EUT,IT,60,884,31,32
202401,1,22041094,11215,FR,ZZZ,NA,NA,53,9,12
202401,1,22041094,11215,PT,ZZZ,NA,NA,727,245,112
202401,1,22041096,11215,FR,NA,FR,0,982,135,135
202401,1,22041096,11215,FR,LON,FR,10,32689,4680,4680
202401,1,22041096,11215,DE,NA,DE,0,5859,59,59
202401,1,22041096,11215,DE,ZZZ,NA,NA,6062,612,612
202401,1,22041096,11215,DE,LON,IT,10,20983,9000,9000
202401,1,22041096,11215,DE,GRG,IT,10,12608,5400,5400
202401,1,22041096,11215,DE,HUL,IT,10,13425,5760,5760
202401,1,22041096,11215,DE,IMM,IT,10,12636,5400,5400
202401,1,22041096,11215,IT,DOV,IT,60,14076,1202,1202
202401,1,22041096,11215,IT,LGP,IT,10,1768,900,900
202401,1,22041096,11215,IT,DEU,IT,60,1414,248,248
202401,1,22041096,11215,GR,DOV,GR,60,3699,360,360
202401,1,22041096,11215,ES,NA,ES,0,6387,680,680
202401,1,22041098,11215,FR,NA,FR,0,13953,1967,1967
202401,1,22041098,11215,FR,NA,NZ,0,14022,1350,1350
202401,1,22041098,11215,FR,ZZZ,NA,NA,444,130,90
202401,1,22041098,11215,FR,LON,FR,10,16611,3375,3375
202401,1,22041098,11215,FR,LON,IT,10,3646,495,495
202401,1,22041098,11215,FR,DOV,FR,60,63592,22122,22122
202401,1,22041098,11215,FR,DOV,IT,60,1233,585,585
202401,1,22041098,11215,FR,PTM,FR,60,19105,2511,2511
202401,1,22041098,11215,FR,MID,FR,60,2399,667,667
202401,1,22041098,11215,FR,EUT,FR,60,1083,342,342
202401,1,22041098,11215,DE,THP,DE,10,1530,518,518
202401,1,22041098,11215,DE,FXT,DE,60,2847,360,360
202401,1,22041098,11215,IT,NA,IT,0,85877,37112,37112
202401,1,22041098,11215,IT,ZZZ,NA,NA,11286,4500,4500
202401,1,22041098,11215,IT,LON,IT,10,73632,30246,30246
202401,1,22041098,11215,IT,LON,IT,60,22266,7412,7412
202401,1,22041098,11215,IT,DOV,IT,10,10279,3600,3600
202401,1,22041098,11215,IT,DOV,IT,60,34633,4832,4832
202401,1,22041098,11215,IT,LGP,IT,10,32529,14594,14594
202401,1,22041098,11215,IT,GRG,IT,10,1561,765,765
202401,1,22041098,11215,IT,IMM,IT,10,14104,5805,5805
202401,1,22041098,11215,IT,HRH,IT,10,5496,2160,2160
202401,1,22041098,11215,IT,EUT,IT,60,3637,1014,1014
202401,1,22041098,11215,IT,PUF,IT,10,4075,1440,1440
