perref,type,comcode,sitc,cod,port,coo,mode,value,mass,supp_unit
202408,1,22041011,11215,FR,NA,FR,0,9149660,257314,257314
202408,1,22041011,11215,FR,ZZZ,NA,NA,539840,10361,10456
202408,1,22041011,11215,FR,LON,FR,10,3013384,120631,120631
202408,1,22041011,11215,FR,THP,FR,10,865695,28441,28441
202408,1,22041011,11215,FR,DOV,FR,60,2801840,116889,116874
202408,1,22041011,11215,FR,DOV,TO,60,1336,72,72
202408,1,22041011,11215,FR,LGP,FR,10,6189,0,157
202408,1,22041011,11215,FR,PTM,FR,10,182044,7560,7560
202408,1,22041011,11215,FR,PTM,FR,60,2096098,99234,99234
202408,1,22041011,11215,FR,MID,FR,60,36300,2313,2313
202408,1,22041011,11215,FR,HUL,FR,10,527285,24644,24644
202408,1,22041011,11215,FR,IMM,FR,10,338554,17712,17712
202408,1,22041011,11215,FR,GSY,FR,10,57006,7793,2705
202408,1,22041011,11215,FR,JSY,FR,10,30765,1511,1707
202408,1,22041011,11215,FR,JSY,NL,10,1860,78,45
202408,1,22041011,11215,FR,DEU,FR,60,29494,1921,1679
202408,1,22041011,11215,FR,EUT,FR,60,3010242,149917,149677
202408,1,22041011,11215,FR,KIL,FR,60,158887,9072,9072
202408,1,22041011,11215,FR,LHR,FR,40,1330,3,10
202408,1,22041011,11215,FR,EMA,FR,40,7843,617,153
202408,1,22041011,11215,NL,NA,FR,0,60218,126,126
202408,1,22041011,11215,NL,ZZZ,NA,NA,60,1,1
202408,1,22041011,11215,NL,LON,FR,10,412671,28440,28440
202408,1,22041011,11215,NL,THP,FR,10,73132,5040,5040
202408,1,22041011,11215,NL,GRG,FR,10,73131,5040,5040
202408,1,22041011,11215,NL,HUL,FR,10,114922,7920,7920
202408,1,22041011,11215,NL,IMM,FR,10,198500,13680,13680
202408,1,22041011,11215,DE,NA,FR,0,5397,128,128
202408,1,22041011,11215,IT,NA,FR,0,43760,96,96
202408,1,22041011,11215,IT,NA,IT,0,59032,4210,4210
202408,1,22041011,11215,IT,THP,IT,10,4600,45,90
202408,1,22041011,11215,IT,LHR,IT,40,1212,1,7
202408,1,22041011,11215,IE,NA,FR,0,46604,49,49
202408,1,22041011,11215,IE,ZZZ,NA,NA,7328,490,304
202408,1,22041011,11215,DK,NA,FR,0,11061,16,16
202408,1,22041011,11215,BE,NA,FR,0,133871,1614,1614
202408,1,22041011,11215,BE,LON,FR,60,343628,22169,22169
202408,1,22041011,11215,BE,MID,FR,60,181578,11597,11597
202408,1,22041011,11215,BE,HUL,FR,60,15898,945,945
202408,1,22041011,11215,BE,IMM,FR,60,369358,23842,23842
202408,1,22041011,11215,CZ,NA,FR,0,3065,5,5
202408,1,22041011,11215,CZ,DOV,IT,60,993,18,18
