perref,type,comcode,sitc,cod,port,coo,mode,value,mass,supp_unit
202409,1,22041011,11215,FR,NA,FR,0,20512375,682629,682626
202409,1,22041011,11215,FR,ZZZ,NA,NA,265020,6575,5650
202409,1,22041011,11215,FR,LON,FR,10,3854815,174121,174121
202409,1,22041011,11215,FR,THP,FR,10,157530,10536,10078
202409,1,22041011,11215,FR,DOV,FR,60,6384842,249409,249341
202409,1,22041011,11215,FR,LGP,FR,10,2514,0,90
202409,1,22041011,11215,FR,PTM,FR,60,1177840,57075,57075
202409,1,22041011,11215,FR,MID,FR,60,32982,2066,2066
202409,1,22041011,11215,FR,HUL,FR,10,170493,8622,8622
202409,1,22041011,11215,FR,IMM,FR,10,121689,8316,8316
202409,1,22041011,11215,FR,GSY,FR,10,26442,3796,1468
202409,1,22041011,11215,FR,JSY,FR,10,55812,3598,2584
202409,1,22041011,11215,FR,DEU,FR,60,188782,8101,8101
202409,1,22041011,11215,FR,EUT,FR,60,3175820,116268,115998
202409,1,22041011,11215,FR,LHR,FR,40,928,140,8
202409,1,22041011,11215,FR,BHX,GB,40,1095,6,5
202409,1,22041011,11215,FR,LSA,GB,40,1025,7,5
202409,1,22041011,11215,FR,EMA,FR,40,3419,12,90
202409,1,22041011,11215,NL,NA,FR,0,8515,298,298
202409,1,22041011,11215,NL,DOV,FR,60,2041,19,19
202409,1,22041011,11215,DE,ZZZ,NA,NA,35008,2160,2160
202409,1,22041011,11215,DE,LON,FR,10,27969,1440,1440
202409,1,22041011,11215,DE,HUL,FR,10,10340,378,378
202409,1,22041011,11215,IT,NA,FR,0,9508,82,82
202409,1,22041011,11215,IT,NA,IT,0,19950,617,617
202409,1,22041011,11215,IT,LON,IT,10,35360,9302,9302
202409,1,22041011,11215,IT,DOV,FR,60,4014,51,51
202409,1,22041011,11215,IT,LHR,GB,40,32522,128,56
202409,1,22041011,11215,IT,LTN,IT,40,2405,1,7
202409,1,22041011,11215,IE,NA,FR,0,4766,4,4
202409,1,22041011,11215,IE,ZZZ,NA,NA,23297,532,441
202409,1,22041011,11215,IE,HLD,FR,60,1177,27,27
202409,1,22041011,11215,DK,NA,FR,0,25471,128,128
202409,1,22041011,11215,ES,LON,FR,60,1293,12,5
202409,1,22041011,11215,ES,DOV,ES,60,1202,11,11
202409,1,22041011,11215,ES,PTM,FR,10,120194,5733,5733
202409,1,22041011,11215,BE,NA,FR,0,177539,3939,3939
202409,1,22041011,11215,BE,LON,FR,60,196720,12488,12488
202409,1,22041011,11215,BE,MID,FR,60,26920,1724,1724
202409,1,22041011,11215,BE,HUL,FR,60,16170,945,945
202409,1,22041011,11215,BE,IMM,FR,60,135112,7875,7875
202409,1,22041011,11215,SE,IMM,FR,60,2960,90,90
202409,1,22041011,11215,AT,NA,FR,0,5785,5,5
202409,1,22041011,11215,CZ,EUT,IT,60,1520,27,27
202409,1,22041013,11215,FR,ZZZ,NA,NA,18,5,12
202409,1,22041013,11215,FR,DOV,ES,60,11140,2228,2228
202409,1,22041013,11215,FR,EUT,ES,60,7785,2160,2160
202409,1,22041013,11215,DE,LON,ES,10,25925,10648,10716
202409,1,22041013,11215,DE,THP,ES,10,1952,766,766
202409,1,22041013,11215,DE,AVO,ES,10,20881,8404,8420
202409,1,22041013,11215,DE,LIV,ES,10,44507,17935,17982
202409,1,22041013,11215,DE,GRK,ES,10,2927,1148,1148
202409,1,22041013,11215,IE,ZZZ,NA,NA,57,50,24
202409,1,22041013,11215,ES,NA,ES,0,23214,6624,6624
202409,1,22041013,11215,ES,ZZZ,NA,NA,7279,1901,1916
202409,1,22041013,11215,ES,LON,ES,10,761527,240383,240383
202409,1,22041013,11215,ES,THP,ES,10,204351,65661,65661
202409,1,22041013,11215,ES,DOV,ES,10,49792,12406,12406
202409,1,22041013,11215,ES,DOV,ES,60,65561,17966,17966
202409,1,22041013,11215,ES,LGP,IT,10,22301,8280,8280
202409,1,22041013,11215,ES,LGP,ES,10,342411,97611,97611
202409,1,22041013,11215,ES,AVO,ES,10,97712,31637,31637
202409,1,22041013,11215,ES,LIV,ES,10,142079,47738,47738
202409,1,22041013,11215,ES,LIV,ES,60,94400,27320,27320
202409,1,22041013,11215,ES,EUT,ES,60,157936,41363,41363
202409,1,22041013,11215,BE,LON,ES,60,80386,33907,33907
202409,1,22041013,11215,BE,MID,ES,60,29028,11948,11948
202409,1,22041013,11215,BE,HUL,ES,60,5470,2373,2373
202409,1,22041013,11215,BE,IMM,ES,60,38302,14425,14425
202409,1,22041015,11215,FR,LON,IT,60,58019,11786,11786
202409,1,22041015,11215,FR,DOV,FR,60,21705,3240,3240
202409,1,22041015,11215,FR,DOV,IT,60,23055,5210,5210
