perref,type,comcode,sitc,cod,port,coo,mode,value,mass,supp_unit
202412,1,22041011,11215,FR,NA,FR,0,11571739,373344,373274
202412,1,22041011,11215,FR,NA,ES,0,985,54,54
202412,1,22041011,11215,FR,ZZZ,NA,NA,811361,23505,23516
202412,1,22041011,11215,FR,LON,FR,10,5927176,311183,311183
202412,1,22041011,11215,FR,LON,FR,60,7701,544,192
202412,1,22041011,11215,FR,THP,FR,10,156737,10766,10548
202412,1,22041011,11215,FR,THP,GB,10,992,13,6
202412,1,22041011,11215,FR,MED,FR,10,15395,846,846
202412,1,22041011,11215,FR,DOV,FR,10,97348,4914,4914
202412,1,22041011,11215,FR,DOV,FR,60,5993935,288565,288565
202412,1,22041011,11215,FR,LGP,FR,10,1000,0,54
202412,1,22041011,11215,FR,PTM,FR,60,3551944,170887,170887
202412,1,22041011,11215,FR,GRG,FR,10,134710,7109,7109
202412,1,22041011,11215,FR,MID,FR,60,68349,4388,4388
202412,1,22041011,11215,FR,HUL,FR,10,1335130,68196,68196
202412,1,22041011,11215,FR,JSY,FR,10,31664,2078,1724
202412,1,22041011,11215,FR,DEU,FR,60,356650,12300,12306
202412,1,22041011,11215,FR,EUT,FR,60,3404028,135833,135761
202412,1,22041011,11215,FR,KIL,FR,60,269305,15120,15120
202412,1,22041011,11215,FR,LHR,FR,40,7350,46,21
202412,1,22041011,11215,FR,LSA,FR,40,2176,54,23
202412,1,22041011,11215,FR,LTN,FR,40,4342,3,3
202412,1,22041011,11215,FR,LTN,DE,40,2241,1,2
202412,1,22041011,11215,FR,EMA,FR,40,3795,42,70
202412,1,22041011,11215,NL,NA,FR,0,123001,1148,1148
202412,1,22041011,11215,NL,LON,FR,10,518974,36000,36000
202412,1,22041011,11215,NL,THP,FR,10,643526,44640,44640
202412,1,22041011,11215,NL,GRG,FR,10,254297,17640,17640
202412,1,22041011,11215,NL,HUL,FR,10,140122,9720,9720
202412,1,22041011,11215,NL,IMM,FR,10,181640,12600,12600
202412,1,22041011,11215,DE,NA,FR,0,113066,771,771
202412,1,22041011,11215,DE,ZZZ,NA,NA,4560,360,360
202412,1,22041011,11215,DE,BHX,FR,40,1459,1,1
202412,1,22041011,11215,IT,NA,FR,0,4401,7,7
202412,1,22041011,11215,IT,NA,IT,0,41007,12735,12735
202412,1,22041011,11215,IT,THP,IT,10,3489,84,51
202412,1,22041011,11215,IT,DOV,IT,60,2286,70,70
202412,1,22041011,11215,IT,MID,IT,10,1498,65,65
202412,1,22041011,11215,IE,ZZZ,NA,NA,22475,1415,1077
202412,1,22041011,11215,DK,NA,FR,0,37418,217,217
202412,1,22041011,11215,ES,LON,FR,60,2050,29,29
202412,1,22041011,11215,ES,DOV,FR,60,8235,115,115
202412,1,22041011,11215,ES,EUT,FR,60,7519,129,129
202412,1,22041011,11215,BE,NA,FR,0,418094,6744,6744
202412,1,22041011,11215,BE,LON,FR,10,262969,13680,13680
202412,1,22041011,11215,BE,LON,FR,60,2202612,141548,141548
202412,1,22041011,11215,BE,MID,FR,10,80385,4181,4181
202412,1,22041011,11215,BE,MID,FR,60,580899,37240,37240
202412,1,22041011,11215,BE,HUL,FR,60,177164,10639,10639
202412,1,22041011,11215,BE,IMM,FR,60,1980712,100392,100392
202412,1,22041011,11215,BE,EUT,FR,60,326043,21377,21377
202412,1,22041011,11215,SE,HUL,FR,60,8876,288,288
202412,1,22041011,11215,AT,NA,FR,0,48591,545,545
202412,1,22041011,11215,CZ,NA,FR,0,4217,140,140
202412,1,22041011,11215,CZ,EUT,CZ,60,3771,73,72
202412,1,22041013,11215,FR,NA,FR,0,30855,135,135
202412,1,22041013,11215,FR,ZZZ,NA,NA,18,5,12
202412,1,22041013,11215,FR,DOV,ES,60,3508,810,810
202412,1,22041013,11215,NL,LON,ES,10,25850,4896,4896
202412,1,22041013,11215,NL,IMM,ES,10,6462,1224,1224
202412,1,22041013,11215,DE,LON,ES,10,135355,52200,52200
202412,1,22041013,11215,DE,THP,ES,10,19600,7560,7560
202412,1,22041013,11215,DE,AVO,ES,10,99881,38520,38520
202412,1,22041013,11215,DE,LIV,ES,10,215632,83160,83160
202412,1,22041013,11215,IE,ZZZ,NA,NA,387,155,85
202412,1,22041013,11215,ES,NA,ES,0,42823,12569,12569
202412,1,22041013,11215,ES,ZZZ,NA,NA,7234,2370,2385
202412,1,22041013,11215,ES,LON,ES,10,850535,258053,258053
202412,1,22041013,11215,ES,THP,FR,10,68821,22500,22500
202412,1,22041013,11215,ES,THP,ES,10,749016,244350,244350
202412,1,22041013,11215,ES,DOV,ES,60,33410,7988,7988
202412,1,22041013,11215,ES,LGP,IT,10,23521,9108,9108
202412,1,22041013,11215,ES,LGP,ES,10,846222,247915,247915
202412,1,22041013,11215,ES,PTM,ES,60,4923,1350,1350
202412,1,22041013,11215,ES,AVO,ES,10,26338,9855,9855
202412,1,22041013,11215,ES,LIV,ES,10,89992,32972,32972
202412,1,22041013,11215,ES,LIV,ES,60,123383,36630,36630
202412,1,22041013,11215,ES,GRK,ES,10,49951,19044,19044
202412,1,22041013,11215,ES,EUT,ES,60,394473,103550,103550
202412,1,22041013,11215,BE,LON,ES,60,152993,56921,56921
202412,1,22041013,11215,BE,MID,ES,60,42718,15836,15836
202412,1,22041013,11215,BE,HUL,ES,60,19131,6732,6732
202412,1,22041013,11215,BE,IMM,ES,60,36542,13618,13618
202412,1,22041015,11215,FR,NA,FR,0,2029,288,288
202412,1,22041015,11215,FR,LON,IT,10,47222,10440,10440
202412,1,22041015,11215,FR,DOV,FR,60,27989,7155,7155
202412,1,22041015,11215,FR,DOV,IT,60,7782,1845,1845
202412,1,22041015,11215,FR,LGP,IT,10,38880,10642,10642
