perref,type,comcode,sitc,cod,port,coo,mode,value,mass,supp_unit
202306,1,22041011,11215,FR,NA,FR,0,16315083,470789,470841
202306,1,22041011,11215,FR,ZZZ,NA,NA,864458,24238,23554
202306,1,22041011,11215,FR,LON,FR,10,4391448,211768,211768
202306,1,22041011,11215,FR,THP,FR,10,1509038,47091,47091
202306,1,22041011,11215,FR,MED,FR,10,49034,3024,3024
202306,1,22041011,11215,FR,MED,FR,60,8594,450,450
202306,1,22041011,11215,FR,DOV,FR,10,182475,7669,7669
202306,1,22041011,11215,FR,DOV,FR,60,4859436,224868,224863
202306,1,22041011,11215,FR,DOV,IT,60,6162,360,360
202306,1,22041011,11215,FR,LGP,FR,10,2329,0,54
202306,1,22041011,11215,FR,NHV,FR,60,564534,12285,12285
202306,1,22041011,11215,FR,PTM,FR,60,2153019,88252,88252
202306,1,22041011,11215,FR,FAL,FR,10,6956,227,227
202306,1,22041011,11215,FR,MID,FR,60,64747,4330,4330
202306,1,22041011,11215,FR,HUL,FR,10,410039,24162,24162
202306,1,22041011,11215,FR,IMM,FR,10,210116,9009,9009
202306,1,22041011,11215,FR,DEU,FR,60,666508,11369,11369
202306,1,22041011,11215,FR,EUT,FR,60,4703151,158165,157121
202306,1,22041011,11215,FR,KIL,FR,10,141595,8694,8694
202306,1,22041011,11215,FR,LHR,FR,40,9040,196,99
202306,1,22041011,11215,FR,BHX,FR,40,6797,164,76
202306,1,22041011,11215,FR,LSA,FR,40,1598,153,77
202306,1,22041011,11215,FR,EMA,FR,40,4209,18,2
202306,1,22041011,11215,NL,THP,FR,10,22333,1800,1800
202306,1,22041011,11215,NL,DOV,FR,60,7460,224,98
202306,1,22041011,11215,NL,GRG,FR,10,49812,3960,3960
202306,1,22041011,11215,NL,MID,FI,60,9055,441,504
202306,1,22041011,11215,NL,IMM,FR,10,40297,3240,3240
202306,1,22041011,11215,NL,LHR,FR,40,1044,18,1
202306,1,22041011,11215,DE,NA,FR,0,26925,78,78
202306,1,22041011,11215,DE,DOV,FR,60,4209,104,104
202306,1,22041011,11215,DE,LIV,FR,60,9705,720,720
202306,1,22041011,11215,IT,NA,FR,0,26575,102,102
202306,1,22041011,11215,IT,NA,IT,0,1277,450,450
202306,1,22041011,11215,IT,DOV,FR,60,8275,32,32
202306,1,22041011,11215,IT,LGP,IT,10,18475,3024,3024
202306,1,22041011,11215,IT,EUT,IT,60,9268,1395,1395
202306,1,22041011,11215,IT,LSA,FR,40,1718,59,59
202306,1,22041011,11215,IE,NA,FR,0,18666,95,95
202306,1,22041011,11215,IE,ZZZ,NA,NA,9585,428,346
202306,1,22041011,11215,IE,HLD,FR,60,2351,18,18
202306,1,22041011,11215,DK,NA,FR,0,25308,214,214
202306,1,22041011,11215,DK,NA,DK,0,10179,7,7
202306,1,22041011,11215,DK,DOV,FR,60,23135,90,90
202306,1,22041011,11215,DK,EMA,DK,40,4487,16,5
202306,1,22041011,11215,PT,NA,FR,0,44018,3719,3719
202306,1,22041011,11215,ES,NA,FR,0,53640,213,213
202306,1,22041011,11215,ES,NA,ES,0,8405,1576,1576
202306,1,22041011,11215,ES,ZZZ,NA,NA,6296,1368,1368
202306,1,22041011,11215,BE,NA,FR,0,215815,728,728
202306,1,22041011,11215,BE,LON,FR,60,793549,25479,25479
202306,1,22041011,11215,BE,MID,FR,60,22610,1305,1305
202306,1,22041011,11215,BE,IMM,FR,60,143733,6598,6598
202306,1,22041011,11215,AT,NA,FR,0,45365,173,173
202306,1,22041013,11215,FR,DOV,ES,60,9146,1800,1800
202306,1,22041013,11215,FR,PTM,ES,60,1653,419,419
202306,1,22041013,11215,IT,LIV,IT,10,6867,1800,1800
202306,1,22041013,11215,IT,LIV,ES,10,6867,1800,1800
202306,1,22041013,11215,IE,ZZZ,NA,NA,79,47,23
202306,1,22041013,11215,ES,NA,ES,0,48541,12561,12561
202306,1,22041013,11215,ES,ZZZ,NA,NA,6285,2281,2296
202306,1,22041013,11215,ES,LON,IT,10,7959,3277,3277
202306,1,22041013,11215,ES,LON,ES,10,468582,179752,179835
202306,1,22041013,11215,ES,LON,ES,60,7317,2070,2070
202306,1,22041013,11215,ES,THP,ES,10,286256,98610,98632
202306,1,22041013,11215,ES,MED,ES,10,3438,900,900
202306,1,22041013,11215,ES,DOV,ES,10,23248,9900,9900
202306,1,22041013,11215,ES,DOV,ES,60,18466,5238,5238
202306,1,22041013,11215,ES,LGP,ES,10,13529,3600,3600
202306,1,22041013,11215,ES,NHV,ES,60,22856,9900,9900
202306,1,22041013,11215,ES,POO,ES,60,947,314,314
202306,1,22041013,11215,ES,AVO,ES,10,31389,14496,14529
202306,1,22041013,11215,ES,LIV,IT,10,3404,1350,1350
202306,1,22041013,11215,ES,LIV,ES,10,1566620,639555,639656
202306,1,22041013,11215,ES,LIV,ES,60,81576,38358,38358
202306,1,22041013,11215,ES,GRK,ES,10,105798,43262,43312
202306,1,22041013,11215,ES,EUT,ES,60,1262,293,293
202306,1,22041013,11215,BE,LON,ES,60,157105,63275,63275
202306,1,22041013,11215,BE,MID,ES,60,87132,34965,34965
202306,1,22041013,11215,BE,HUL,ES,60,31808,13161,13161
202306,1,22041013,11215,BE,IMM,ES,60,79037,32215,32215
202306,1,22041013,11215,SE,DOV,ES,60,1357,360,360
202306,1,22041015,11215,FR,LON,IT,10,57897,15646,15646
202306,1,22041015,11215,FR,DOV,IT,60,79514,13046,13046
202306,1,22041015,11215,FR,PTM,IT,60,7720,1784,1784
202306,1,22041015,11215,FR,MID,IT,60,3117,720,720
202306,1,22041015,11215,FR,HUL,IT,10,60814,13950,13950
202306,1,22041015,11215,FR,JSY,JE,10,29475,4821,4821
202306,1,22041015,11215,FR,EUT,FR,60,12299,720,720
202306,1,22041015,11215,FR,EUT,IT,60,9397,2928,2928
202306,1,22041015,11215,NL,LON,IT,60,90993,23243,23243
202306,1,22041015,11215,NL,HUL,IT,10,25693,8415,8415
202306,1,22041015,11215,NL,EUT,IT,60,2874,310,159
202306,1,22041015,11215,DE,DOV,IT,60,4696,864,864
202306,1,22041015,11215,IT,NA,FR,0,1752,450,450
