perref,type,comcode,sitc,cod,port,coo,mode,value,mass,supp_unit
202309,1,22041011,11215,FR,NA,FR,0,16029180,518053,518045
202309,1,22041011,11215,FR,ZZZ,NA,NA,101410,1474,1063
202309,1,22041011,11215,FR,LON,FR,10,6540360,318247,315835
202309,1,22041011,11215,FR,LON,FR,60,367679,12024,12024
202309,1,22041011,11215,FR,THP,FR,10,1304064,57069,57069
202309,1,22041011,11215,FR,MED,FR,10,72606,2912,2912
202309,1,22041011,11215,FR,DOV,FR,10,197521,8354,8354
202309,1,22041011,11215,FR,DOV,FR,60,5810587,251828,251828
202309,1,22041011,11215,FR,LGP,FR,10,3799,126,72
202309,1,22041011,11215,FR,NHV,FR,10,80321,2646,2646
202309,1,22041011,11215,FR,NHV,FR,60,310151,14535,14535
202309,1,22041011,11215,FR,PTM,FR,60,1550816,81041,81041
202309,1,22041011,11215,FR,MID,FR,60,53228,3321,3321
202309,1,22041011,11215,FR,HUL,FR,10,982965,57177,57177
202309,1,22041011,11215,FR,IMM,FR,10,188990,7749,7749
202309,1,22041011,11215,FR,GSY,FR,10,18560,3732,5324
202309,1,22041011,11215,FR,JSY,JE,10,59054,6424,6424
202309,1,22041011,11215,FR,DEU,FR,60,41536,1272,1272
202309,1,22041011,11215,FR,EUT,FR,60,1869446,85379,85277
202309,1,22041011,11215,FR,PUF,FR,60,146899,10080,10080
202309,1,22041011,11215,FR,LHR,FR,40,924,9,7
202309,1,22041011,11215,FR,LSA,FR,40,984,85,39
202309,1,22041011,11215,NL,NA,FR,0,141628,482,482
202309,1,22041011,11215,NL,THP,FR,10,53535,2555,2555
202309,1,22041011,11215,NL,GRG,FR,10,15061,1080,1080
202309,1,22041011,11215,NL,MID,FR,10,4957,356,356
202309,1,22041011,11215,NL,DEU,NL,60,6504,450,450
202309,1,22041011,11215,DE,NA,FR,0,37563,87,87
202309,1,22041011,11215,DE,ZZZ,NA,NA,28263,1440,1440
202309,1,22041011,11215,DE,THP,FR,10,41245,2457,2457
202309,1,22041011,11215,DE,DOV,DE,60,904,145,81
202309,1,22041011,11215,DE,LGP,FR,10,7262,2,2
202309,1,22041011,11215,IT,NA,FR,0,4022,10,10
202309,1,22041011,11215,IT,DOV,IT,60,66433,12511,12511
202309,1,22041011,11215,IT,LHR,IT,40,4857,176,22
202309,1,22041011,11215,IE,NA,FR,0,11307,12,12
202309,1,22041011,11215,IE,ZZZ,NA,NA,8729,436,320
202309,1,22041011,11215,IE,EMA,IE,40,2089,1,5
202309,1,22041011,11215,DK,NA,FR,0,28011,104,104
202309,1,22041011,11215,DK,LSA,FR,40,1341,8,1
202309,1,22041011,11215,PT,NA,FR,0,11253,583,583
202309,1,22041011,11215,ES,NA,FR,0,10403,50,50
202309,1,22041011,11215,ES,EUT,FR,60,180383,9828,9828
202309,1,22041011,11215,BE,NA,FR,0,132203,537,537
202309,1,22041011,11215,BE,LON,FR,10,147259,8280,8280
202309,1,22041011,11215,BE,LON,FR,60,715977,38682,38682
202309,1,22041011,11215,BE,MID,FR,60,623251,59643,59643
202309,1,22041011,11215,BE,HUL,FR,60,165345,15516,15516
202309,1,22041011,11215,BE,IMM,FR,10,63809,3600,3600
202309,1,22041011,11215,BE,IMM,FR,60,674826,39287,39287
202309,1,22041013,11215,FR,DOV,ES,60,7211,1575,1575
202309,1,22041013,11215,NL,LON,ES,10,28159,6120,6120
202309,1,22041013,11215,NL,THP,ES,10,32386,7038,7038
202309,1,22041013,11215,NL,MID,ES,10,11324,2448,2448
202309,1,22041013,11215,NL,HUL,ES,10,22530,4896,4896
202309,1,22041013,11215,NL,IMM,ES,10,8453,1836,1836
202309,1,22041013,11215,IT,MID,ES,10,2950,1080,1080
202309,1,22041013,11215,IE,ZZZ,NA,NA,62,28,126
202309,1,22041013,11215,ES,NA,IT,0,9541,3645,3645
202309,1,22041013,11215,ES,NA,ES,0,24373,5334,5334
202309,1,22041013,11215,ES,ZZZ,NA,NA,8655,3358,3385
202309,1,22041013,11215,ES,LON,ES,10,770063,334179,334179
202309,1,22041013,11215,ES,LON,ES,60,83419,24812,24812
202309,1,22041013,11215,ES,THP,IT,10,29864,6970,6970
202309,1,22041013,11215,ES,THP,ES,10,796087,308087,308089
202309,1,22041013,11215,ES,DOV,ES,60,7345,2301,2301
202309,1,22041013,11215,ES,PTM,ES,60,1634,383,383
202309,1,22041013,11215,ES,AVO,ES,10,24185,10800,10800
202309,1,22041013,11215,ES,LIV,ES,10,574015,236133,236133
202309,1,22041013,11215,ES,LIV,ES,60,85112,30600,30600
202309,1,22041013,11215,ES,GRK,ES,10,42423,17377,17377
202309,1,22041013,11215,ES,DAG,IT,10,32441,8550,8550
202309,1,22041013,11215,ES,DAG,ES,10,194430,64224,64224
202309,1,22041013,11215,ES,DEU,ES,60,4431,900,900
202309,1,22041013,11215,ES,EMA,ES,40,1980,306,180
202309,1,22041013,11215,BE,LON,ES,60,99356,40872,40872
202309,1,22041013,11215,BE,MID,ES,60,43735,18063,18063
202309,1,22041013,11215,BE,HUL,ES,60,22657,9414,9414
202309,1,22041013,11215,BE,IMM,ES,60,51336,21122,21122
202309,1,22041015,11215,FR,NA,FR,0,2380,14,14
202309,1,22041015,11215,FR,NA,IT,0,17715,4489,4489
202309,1,22041015,11215,FR,LON,IT,10,20292,4950,4950
202309,1,22041015,11215,FR,DOV,FR,60,8622,1800,1800
202309,1,22041015,11215,FR,DOV,IT,10,1857,293,293
202309,1,22041015,11215,FR,DOV,IT,60,114767,20234,20234
202309,1,22041015,11215,FR,LGP,FR,10,40151,3600,3600
202309,1,22041015,11215,FR,PTM,IT,60,7893,1800,1800
202309,1,22041015,11215,FR,HRH,IT,60,8091,1800,1800
202309,1,22041015,11215,FR,EUT,FR,60,13488,2160,2160
202309,1,22041015,11215,FR,EUT,IT,60,2973,823,823
202309,1,22041015,11215,NL,LON,IT,60,49506,12249,12249
202309,1,22041015,11215,DE,ZZZ,NA,NA,1304,396,396
202309,1,22041015,11215,DE,THP,IT,10,35235,4500,4500
202309,1,22041015,11215,DE,HRH,DE,60,25416,4896,6048
202309,1,22041015,11215,IT,NA,IT,0,1716446,403131,402134
202309,1,22041015,11215,IT,ZZZ,NA,NA,55367,18457,14583
202309,1,22041015,11215,IT,LON,IT,10,5206028,1353204,1353204
202309,1,22041015,11215,IT,LON,IT,60,948073,211619,211619
202309,1,22041015,11215,IT,THP,IT,10,301700,78496,78496
202309,1,22041015,11215,IT,DOV,IT,10,190327,44421,44421
202309,1,22041015,11215,IT,DOV,IT,60,632638,163928,162519
202309,1,22041015,11215,IT,LGP,FR,10,67516,21780,21780
202309,1,22041015,11215,IT,LGP,IT,10,11728824,3136578,3136578
202309,1,22041015,11215,IT,PTM,IT,60,12713,2938,2938
202309,1,22041015,11215,IT,STN,IT,10,41512,11700,11700
202309,1,22041015,11215,IT,GRG,IT,10,478625,136287,136287
202309,1,22041015,11215,IT,BLY,IT,10,383267,94374,94374
202309,1,22041015,11215,IT,MID,IT,10,245185,72564,72564
202309,1,22041015,11215,IT,MID,IT,60,178280,46440,46440
202309,1,22041015,11215,IT,HUL,IT,10,1484821,388810,388810
202309,1,22041015,11215,IT,HUL,IT,60,96798,24525,24525
202309,1,22041015,11215,IT,IMM,IT,10,1057049,298836,298836
202309,1,22041015,11215,IT,IMM,IT,60,178530,32939,32939
202309,1,22041015,11215,IT,HRH,IT,10,38207,9342,9342
