perref,type,comcode,sitc,cod,port,coo,mode,value,mass,supp_unit
202407,1,22041011,11215,FR,NA,FR,0,18835225,543408,543409
202407,1,22041011,11215,FR,ZZZ,NA,NA,535545,15980,15842
202407,1,22041011,11215,FR,LON,FR,10,4770289,199915,199915
202407,1,22041011,11215,FR,THP,FR,10,1181521,56659,56573
202407,1,22041011,11215,FR,THP,GB,10,2460,35,15
202407,1,22041011,11215,FR,DOV,FR,60,7011818,325267,325267
202407,1,22041011,11215,FR,LGP,FR,10,7193,108,202
202407,1,22041011,11215,FR,NHV,FR,60,28503,1242,1242
202407,1,22041011,11215,FR,PTM,FR,60,2434481,107822,107822
202407,1,22041011,11215,FR,MID,FR,60,168006,10759,10179
202407,1,22041011,11215,FR,HUL,FR,10,514266,25965,25965
202407,1,22041011,11215,FR,IMM,FR,10,749125,35838,35838
202407,1,22041011,11215,FR,HRH,FR,60,4556,18,18
202407,1,22041011,11215,FR,GSY,FR,10,14556,1126,504
202407,1,22041011,11215,FR,JSY,FR,10,32582,2589,1545
202407,1,22041011,11215,FR,DEU,FR,60,21027,922,922
202407,1,22041011,11215,FR,EUT,FR,60,2116618,96480,96224
202407,1,22041011,11215,FR,LHR,FR,40,1068,22,18
202407,1,22041011,11215,FR,BHX,FR,40,897,83,41
202407,1,22041011,11215,FR,EMA,FR,40,1750,108,15
202407,1,22041011,11215,NL,NA,FR,0,6696,6,6
202407,1,22041011,11215,DE,NA,FR,0,5077,12,12
202407,1,22041011,11215,DE,NA,DE,0,1392,81,81
202407,1,22041011,11215,DE,ZZZ,NA,NA,28230,2160,2160
202407,1,22041011,11215,IT,NA,FR,0,13543,13,13
202407,1,22041011,11215,IT,NA,IT,0,39775,12780,12780
202407,1,22041011,11215,IT,DOV,IT,60,48857,9007,9007
202407,1,22041011,11215,IT,EMA,FR,40,2110,5,4
202407,1,22041011,11215,IE,ZZZ,NA,NA,9457,493,433
202407,1,22041011,11215,DK,NA,FR,0,101999,261,261
202407,1,22041011,11215,ES,NA,FR,0,3650,9,9
202407,1,22041011,11215,ES,DOV,FR,60,1738,27,27
202407,1,22041011,11215,ES,EUT,FR,60,539971,22113,22113
202407,1,22041011,11215,BE,NA,FR,0,114702,631,631
