Year,Wheat,Barley,Oats,Rye,Mixed Corn,Triticale,Oilseed Rape
1885,2.4,,,,,,
1886,2,,,,,,
1887,2.4,,,,,,
1888,2.1,,,,,,
1889,2.3,,,,,,
1890,2.3,,,,,,
1891,2.4,,,,,,
1892,2,,,,,,
1893,2,,,,,,
1894,2.3,,,,,,
1895,2,,,,,,
1896,2.5,,,,,,
1897,2.2,,,,,,
1898,2.6,,,,,,
1899,2.5,,,,,,
1900,2.2,,,,,,
1901,2.3,,,,,,
1902,2.5,,,,,,
1903,2.3,,,,,,
1904,2,,,,,,
1905,2.5,,,,,,
1906,2.6,,,,,,
1907,2.6,,,,,,
1908,2.4,,,,,,
1909,2.5,,,,,,
1910,2.3,,,,,,
1911,2.5,,,,,,
1912,2.1,,,,,,
1913,2.4,,,,,,
1914,2.5,,,,,,
1915,2.4,,,,,,
1916,2.2,,,,,,
1917,2.3,,,,,,
1918,2.5,,,,,,
1919,2.2,,,,,,
1920,2.1,,,,,,
1921,2.7,,,,,,
1922,2.3,,,,,,
1923,2.4,,,,,,
1924,2.4,,,,,,
1925,2.5,,,,,,
1926,2.3,,,,,,
1927,2.4,,,,,,
1928,2.5,,,,,,
1929,2.6,,,,,,
1930,2.2,,,,,,
1931,2.2,,,,,,
1932,2.4,,,,,,
1933,2.6,,,,,,
1934,2.7,,,,,,
1935,2.5,,,,,,
1936,2.2,,,,,,
1937,2.2,,,,,,
1938,2.8,,,,,,
1939,2.5,,,,,,
1940,2.5,,,,,,
1941,2.4,,,,,,
1942,2.8,,,,,,
1943,2.7,,,,,,
1944,2.7,,,,,,
1945,2.6,,,,,,
1946,2.6,,,,,,
1947,2.1,,,,,,
1948,2.8,2.7,,,,,
1949,3.1,2.8,,,,,
1950,2.9,2.6,,,,,
1951,3,2.8,,,,,
1952,3.1,2.8,,,,,
1953,3.3,3.1,,,,,
1954,3.1,3,,,,,
1955,3.6,3.5,,,,,
1956,3.4,3.3,,,,,
1957,3.5,3.1,,,,,
1958,3.4,3.1,,,,,
1959,3.9,3.6,,,,,
1960,3.9,3.4,,,,,
1961,3.8,3.6,,,,,
1962,4.7,4,,,,,
1963,4.2,3.8,,,,,
1964,4.6,4,,,,,
1965,4.4,4.1,,,,,
1966,4.2,3.8,,,,,
1967,4.2,3.8,,,,,
1968,3.6,3.4,,,,,
1969,4,3.6,,,,,
1970,4.2,3.4,,,,,
1971,4.4,3.7,,,,,
1972,4.2,4,,,,,
1973,4.4,4,,,,,
1974,5,4.1,,,,,
1975,4.3,3.6,,,,,
1976,3.9,3.5,,,,,
1977,4.9,4.4,,,,,
1978,5.3,4.2,,,,,
1979,5.2,4.1,,,,,
1980,5.9,4.4,4.1,3.8,4.4,,
1981,5.8,4.4,4.3,3.7,4.1,,
1982,6.2,4.9,4.4,4.1,4,,
1983,6.4,4.7,4.3,3.7,4.1,,
1984,7.7,5.6,4.9,4.7,4.7,,3.4
1985,6.3,5,4.6,4.6,4.3,,3
1986,7,5.2,5.2,4.7,4.3,,3.2
1987,6,5,4.6,4.8,4.5,6.5,3.4
1988,6.2,4.7,4.6,4.6,4.2,4.3,3
1989,6.7,4.9,4.5,4.8,3.8,5.2,2.9
1990,7,5.2,5,4.8,4.1,5.7,3.1
1991,7.3,5.5,5,5.7,4,5.3,2.9
1992,6.8,5.7,5,4.6,4.4,4.6,2.9
1993,7.3,5.2,5.2,5.2,4.3,5.1,2.6
1994,7.4,5.4,5.5,5.9,4.4,5.8,2.5
1995,7.7,5.7,5.5,5.4,5,6.1,2.8
1996,8.2,6.1,6.1,6.2,4.7,6,3.4
1997,7.4,5.8,5.8,5.6,4.6,5.6,3.2
1998,7.6,5.3,6,4.3,3.4,5.7,2.9
1999,8.1,5.6,5.9,5.6,4.7,6.2,3.2
2000,8,5.8,5.9,6.1,5.5,6.1,2.9
2001,7.1,5.3,5.5,4.9,3.9,4.7,2.6
2002,8,5.6,6,5.8,4.7,4.7,3.4
2003,7.8,5.9,6.2,5.8,4.3,4.1,3.3
2004,7.8,5.8,5.8,5.7,4.3,4.1,2.9
2005,8,5.9,5.8,6.7,4.4,4.2,3.2
2006,8,5.9,6,6.1,4.5,4.3,3.3
2007,7.2,5.7,5.5,5.7,3.9,3.9,3.1
2008,8.3,6,5.8,6.1,4.4,4.4,3.3
2009,7.9,5.8,5.8,6.6,4.1,4.1,3.4
2010,7.7,5.7,5.5,6.3,4.1,4,3.5
2011,7.7,5.7,5.6,5.4,3.9,4.1,3.9
2012,6.7,5.5,5.1,5.2,4.2,3.5,3.4
2013,7.4,5.8,5.5,5.6,4.2,3.9,3
2014,8.6,6.4,6,5.7,4.7,4.6,3.6
2015,9,6.7,6.1,2.6,5,4.8,3.9
2016,7.9,5.9,5.8,1.9,,,3.1
2017,8.3,6.1,5.4,,,,3.9
2018,7.8,5.7,5,,,,3.4
2019,8.9,6.9,5.9,,,,3.3
2020,7,5.9,4.9,,,,2.7
2021,7.8,6.1,5.6,,,,3.2
2022,8.6,6.6,5.7,,,,3.7
2023,8.1,6.1,5,,,,3.1
