perref,type,comcode,sitc,cod,port,coo,mode,value,mass,supp_unit
202307,1,22041011,11215,FR,NA,FR,0,21972653,707834,707715
202307,1,22041011,11215,FR,ZZZ,NA,NA,673140,21300,21671
202307,1,22041011,11215,FR,LON,FR,10,6778829,302287,302287
202307,1,22041011,11215,FR,LON,FR,60,753285,31638,31638
202307,1,22041011,11215,FR,THP,FR,10,348568,22970,22914
202307,1,22041011,11215,FR,MED,FR,10,171412,8051,8051
202307,1,22041011,11215,FR,DOV,FR,10,231383,9807,9807
202307,1,22041011,11215,FR,DOV,FR,60,5637620,274178,273481
202307,1,22041011,11215,FR,LGP,FR,10,2356,54,108
202307,1,22041011,11215,FR,NHV,FR,60,670174,39902,39902
202307,1,22041011,11215,FR,PTM,FR,60,1871028,69388,69388
202307,1,22041011,11215,FR,MID,FR,60,63829,3818,3818
202307,1,22041011,11215,FR,HUL,FR,10,276867,10413,10413
202307,1,22041011,11215,FR,IMM,FR,10,255219,15876,15876
202307,1,22041011,11215,FR,GSY,FR,10,41494,9523,1126
202307,1,22041011,11215,FR,JSY,JE,10,246883,17512,17512
202307,1,22041011,11215,FR,DEU,FR,60,148143,21959,9061
202307,1,22041011,11215,FR,EUT,FR,60,2459939,121337,121336
202307,1,22041011,11215,FR,EUT,DE,60,40090,1509,1509
202307,1,22041011,11215,FR,LHR,FR,40,2289,4,1
202307,1,22041011,11215,FR,EMA,FR,40,2418,122,59
202307,1,22041011,11215,NL,LON,FR,10,156969,12240,12240
202307,1,22041011,11215,NL,THP,FR,10,148218,11516,11516
202307,1,22041011,11215,NL,DOV,FR,60,721030,2207,2207
202307,1,22041011,11215,NL,MID,FR,10,63584,5040,5040
202307,1,22041011,11215,NL,HUL,FR,10,13092,1080,1080
202307,1,22041011,11215,NL,IMM,FR,10,63448,5040,5040
202307,1,22041011,11215,DE,NA,FR,0,46765,272,272
202307,1,22041011,11215,DE,EUT,FR,60,3300,86,86
202307,1,22041011,11215,IT,NA,FR,0,14847,53,53
202307,1,22041011,11215,IE,NA,FR,0,15322,217,217
202307,1,22041011,11215,IE,ZZZ,NA,NA,3687,177,160
202307,1,22041011,11215,DK,NA,FR,0,42090,171,171
202307,1,22041011,11215,DK,LSA,DK,40,1178,17,0
202307,1,22041011,11215,DK,EMA,FR,40,2641,26,13
202307,1,22041011,11215,PT,NA,FR,0,2160,185,185
202307,1,22041011,11215,ES,NA,FR,0,83491,427,427
202307,1,22041011,11215,ES,EUT,FR,60,2410,30,30
