perref,type,comcode,sitc,cod,port,coo,mode,value,mass,supp_unit
202311,1,22041011,11215,FR,NA,FR,0,20594131,666838,666803
202311,1,22041011,11215,FR,ZZZ,NA,NA,2571595,61487,61756
202311,1,22041011,11215,FR,LON,FR,10,11807631,499830,499830
202311,1,22041011,11215,FR,LON,FR,60,2004,170,68
202311,1,22041011,11215,FR,LON,ES,10,317195,9419,9419
202311,1,22041011,11215,FR,THP,FR,10,4826541,231145,230878
202311,1,22041011,11215,FR,THP,IT,10,99641,1485,1485
202311,1,22041011,11215,FR,MED,FR,10,98722,3798,3798
202311,1,22041011,11215,FR,DOV,FR,10,189344,8106,8106
202311,1,22041011,11215,FR,DOV,FR,60,8760972,384536,384472
202311,1,22041011,11215,FR,DOV,ES,60,927,210,90
202311,1,22041011,11215,FR,LGP,FR,10,3794,174,91
202311,1,22041011,11215,FR,PTM,FR,10,81287,2646,2646
202311,1,22041011,11215,FR,PTM,FR,60,7363067,337075,337075
202311,1,22041011,11215,FR,MID,FR,60,30711,1994,1994
202311,1,22041011,11215,FR,HUL,FR,10,919725,42075,42075
202311,1,22041011,11215,FR,GSY,FR,10,63023,7728,2205
202311,1,22041011,11215,FR,GSY,DE,10,17200,19667,495
202311,1,22041011,11215,FR,GSY,ES,10,13068,1672,720
202311,1,22041011,11215,FR,JSY,JE,10,185427,7221,7221
202311,1,22041011,11215,FR,DEU,FR,60,26309,1168,1170
202311,1,22041011,11215,FR,EUT,FR,60,4838884,234526,234404
202311,1,22041011,11215,FR,KIL,FR,60,1184629,49302,49302
202311,1,22041011,11215,FR,LHR,FR,40,5589,356,33
202311,1,22041011,11215,FR,BHX,FR,40,5101,545,243
202311,1,22041011,11215,FR,ZLC,FR,30,20860,1150,1150
202311,1,22041011,11215,NL,NA,FR,0,3922,59,59
202311,1,22041011,11215,NL,LON,FR,10,85843,5760,5760
202311,1,22041011,11215,NL,THP,FR,10,58565,2549,2549
202311,1,22041011,11215,NL,GRG,FR,10,51804,3600,3600
202311,1,22041011,11215,NL,HUL,FR,10,76649,5040,5040
202311,1,22041011,11215,DE,NA,FR,0,35748,206,206
202311,1,22041011,11215,DE,ZZZ,NA,NA,11106,720,720
202311,1,22041011,11215,IT,NA,FR,0,37967,49,49
202311,1,22041011,11215,IT,NA,IT,0,5795,1355,1355
202311,1,22041011,11215,IT,THP,IT,10,169089,10368,10368
202311,1,22041011,11215,IT,DOV,IT,60,1120,90,90
202311,1,22041011,11215,IT,LHR,IT,40,1126,45,45
202311,1,22041011,11215,IE,NA,FR,0,81142,93,93
202311,1,22041011,11215,IE,ZZZ,NA,NA,15081,582,651
202311,1,22041011,11215,DK,NA,FR,0,208427,340,340
202311,1,22041011,11215,DK,DOV,FR,60,4265,18,18
202311,1,22041011,11215,PT,DEU,FR,60,2264,19,19
202311,1,22041011,11215,PT,LSA,PT,40,8671,26,1
202311,1,22041011,11215,ES,NA,FR,0,6010,32,32
202311,1,22041011,11215,ES,ZZZ,NA,NA,1323,354,360
202311,1,22041011,11215,ES,PTM,FR,10,122055,5733,5733
202311,1,22041011,11215,BE,NA,FR,0,256801,1336,1336
202311,1,22041011,11215,BE,LON,FR,60,2828518,150890,150890
202311,1,22041011,11215,BE,MID,FR,60,138248,7857,7857
202311,1,22041011,11215,BE,HUL,FR,60,229329,15273,15273
202311,1,22041011,11215,BE,IMM,FR,60,1676498,72806,72806
202311,1,22041011,11215,AT,NA,FR,0,68627,352,352
202311,1,22041011,11215,EE,NA,FR,0,27843,135,135
202311,1,22041013,11215,FR,DOV,ES,60,11402,2701,2701
202311,1,22041013,11215,FR,EUT,FR,60,1988,678,678
202311,1,22041013,11215,NL,LIV,ES,60,3003,1148,1148
202311,1,22041013,11215,DE,THP,ES,10,3464,1530,1530
202311,1,22041013,11215,DE,LIV,ES,10,3465,1530,1530
202311,1,22041013,11215,IT,NA,IT,0,1551,450,450
202311,1,22041013,11215,IE,ZZZ,NA,NA,28,5,5
202311,1,22041013,11215,ES,NA,ES,0,59922,18400,18400
202311,1,22041013,11215,ES,ZZZ,NA,NA,14663,4472,4457
202311,1,22041013,11215,ES,LON,IT,10,23923,5515,5515
202311,1,22041013,11215,ES,LON,ES,10,1528923,545731,545731
202311,1,22041013,11215,ES,THP,ES,10,917562,263958,263958
202311,1,22041013,11215,ES,DOV,ES,60,10820,3333,3333
202311,1,22041013,11215,ES,NHV,ES,10,38747,9900,9900
202311,1,22041013,11215,ES,PTM,ES,60,9031,2700,2700
202311,1,22041013,11215,ES,AVO,ES,10,4319,1913,1913
202311,1,22041013,11215,ES,LIV,ES,10,1646640,566675,566675
202311,1,22041013,11215,ES,LIV,ES,60,232502,83013,83013
202311,1,22041013,11215,ES,GRK,ES,10,72393,29444,29444
202311,1,22041013,11215,ES,DAG,ES,10,235073,75294,75294
202311,1,22041013,11215,ES,EUT,ES,60,79453,15994,15994
202311,1,22041013,11215,BE,LON,ES,60,121918,50113,50113
202311,1,22041013,11215,BE,MID,ES,60,57730,23716,23716
202311,1,22041013,11215,BE,HUL,ES,60,9311,3825,3825
202311,1,22041013,11215,BE,IMM,ES,60,62384,25629,25629
202311,1,22041013,11215,SE,DOV,ES,60,1438,360,360
202311,1,22041013,11215,PL,ZZZ,NA,NA,8113,1296,1296
202311,1,22041015,11215,FR,DOV,FR,60,1734,450,450
202311,1,22041015,11215,FR,DOV,IT,60,65101,16038,16038
202311,1,22041015,11215,FR,LGP,FR,10,1381,124,68
202311,1,22041015,11215,FR,PTM,IT,60,2293,446,446
202311,1,22041015,11215,FR,MID,IT,60,14410,3290,3290
202311,1,22041015,11215,FR,GSY,DE,10,28398,28359,3310
202311,1,22041015,11215,FR,GSY,IT,10,6952,9454,1210
202311,1,22041015,11215,FR,EUT,FR,60,9412,2062,2062
202311,1,22041015,11215,FR,EUT,IT,60,1370,293,293
202311,1,22041015,11215,FR,PUF,IT,60,17527,4446,4446
202311,1,22041015,11215,NL,LON,IT,10,246781,64929,64929
202311,1,22041015,11215,NL,THP,IT,10,12339,2880,2880
202311,1,22041015,11215,NL,MID,IT,10,69275,18149,18149
202311,1,22041015,11215,NL,HUL,IT,10,30317,7659,7659
202311,1,22041015,11215,NL,IMM,IT,10,36253,9311,9311
202311,1,22041015,11215,DE,LON,IT,10,156331,46233,46233
202311,1,22041015,11215,DE,GRG,IT,10,40002,10490,10490
202311,1,22041015,11215,DE,HUL,IT,10,77332,22320,22320
202311,1,22041015,11215,DE,IMM,IT,10,56586,16681,16681
202311,1,22041015,11215,IT,NA,FR,0,9533,2475,2475
202311,1,22041015,11215,IT,NA,IT,0,1979063,466756,466735
202311,1,22041015,11215,IT,ZZZ,NA,NA,140002,48640,27059
202311,1,22041015,11215,IT,LON,IT,10,7527504,1947010,1947010
202311,1,22041015,11215,IT,LON,IT,60,1135564,248346,248346
202311,1,22041015,11215,IT,LON,ES,10,12146,3150,3150
202311,1,22041015,11215,IT,THP,IT,10,210320,56622,56622
202311,1,22041015,11215,IT,MED,IT,10,25899,5652,5652
202311,1,22041015,11215,IT,DOV,IT,10,140054,35236,35236
202311,1,22041015,11215,IT,DOV,IT,60,1644353,379419,379058
202311,1,22041015,11215,IT,LGP,IT,10,18052251,4521109,4521109
202311,1,22041015,11215,IT,GRG,IT,10,683202,192800,192800
202311,1,22041015,11215,IT,BLY,IT,10,345219,85576,85576
202311,1,22041015,11215,IT,MID,IT,10,129564,36210,36210
202311,1,22041015,11215,IT,MID,IT,60,293444,75600,75600
202311,1,22041015,11215,IT,HUL,IT,10,2021673,571022,571022
202311,1,22041015,11215,IT,HUL,IT,60,61384,11578,11578
202311,1,22041015,11215,IT,IMM,IT,10,1670910,441050,441050
202311,1,22041015,11215,IT,IMM,IT,60,230802,50407,50407
202311,1,22041015,11215,IT,IMM,ES,10,44643,11700,11700
202311,1,22041015,11215,IT,HRH,IT,10,40379,11700,11700
202311,1,22041015,11215,IT,DEU,IT,60,33733,8730,8730
202311,1,22041015,11215,IT,EUT,IT,60,504695,125027,123473
202311,1,22041015,11215,IT,KIL,IT,10,233802,63551,63551
202311,1,22041015,11215,IT,KIL,IT,60,1269850,298612,298612
202311,1,22041015,11215,IT,PUF,IT,10,105913,24264,24264
202311,1,22041015,11215,IT,PUF,IT,60,1437720,366786,366786
202311,1,22041015,11215,IT,LHR,IT,40,3403,902,902
202311,1,22041015,11215,IT,LSA,IT,40,13799,2267,2267
202311,1,22041015,11215,IT,CVT,IT,40,7177,1796,1796
202311,1,22041015,11215,IE,ZZZ,NA,NA,13750,2520,2601
202311,1,22041015,11215,ES,NA,ES,0,2520,450,450
202311,1,22041015,11215,ES,THP,IT,10,15398,2603,2603
202311,1,22041015,11215,ES,LIV,IT,10,23270,5400,5400
202311,1,22041015,11215,BE,LON,IT,10,30069,5688,5688
202311,1,22041015,11215,BE,LON,IT,60,9769059,2521792,2521792
202311,1,22041015,11215,BE,MID,IT,60,1247636,332775,332775
202311,1,22041015,11215,BE,HUL,IT,60,349939,97109,97109
202311,1,22041015,11215,BE,IMM,IT,60,1586689,417999,417999
202311,1,22041091,11215,FR,ZZZ,NA,NA,56,14,18
202311,1,22041091,11215,DE,LON,IT,10,2677,855,855
202311,1,22041091,11215,DE,GRG,IT,10,2677,855,855
202311,1,22041091,11215,DE,HUL,IT,10,1338,428,428
202311,1,22041091,11215,DE,IMM,IT,10,1338,428,428
202311,1,22041091,11215,IT,NA,IT,0,9912,2993,2993
202311,1,22041091,11215,IT,LON,IT,10,154283,45843,45844
202311,1,22041091,11215,IT,LON,IT,60,18506,2823,2868
202311,1,22041091,11215,IT,LGP,IT,10,244857,69921,69921
202311,1,22041091,11215,IT,GRG,IT,10,2677,855,855
202311,1,22041091,11215,IT,HUL,IT,10,46611,13944,13944
202311,1,22041091,11215,IT,IMM,IT,10,10655,3421,3421
202311,1,22041091,11215,IT,CVT,IT,40,1531715,379931,379931
202311,1,22041091,11215,BE,LON,IT,60,357326,124474,124474
202311,1,22041091,11215,BE,MID,IT,60,115654,40196,40196
202311,1,22041091,11215,BE,HUL,IT,60,12894,4703,4703
202311,1,22041091,11215,BE,IMM,IT,60,115514,40202,40202
202311,1,22041093,11215,FR,NA,FR,0,119207,15028,15028
202311,1,22041093,11215,FR,ZZZ,NA,NA,17109,1988,1678
202311,1,22041093,11215,FR,LON,FR,10,1135581,217764,217764
202311,1,22041093,11215,FR,LON,FR,60,39976,6507,6507
202311,1,22041093,11215,FR,THP,FR,10,252403,50761,50761
202311,1,22041093,11215,FR,DOV,FR,10,3192,450,450
202311,1,22041093,11215,FR,DOV,FR,60,516776,84565,84565
202311,1,22041093,11215,FR,DOV,DE,60,37759,7038,7038
202311,1,22041093,11215,FR,NHV,FR,60,12050,2165,2165
202311,1,22041093,11215,FR,PTM,FR,60,238674,41571,41571
202311,1,22041093,11215,FR,PTM,DE,60,23518,3312,3312
202311,1,22041093,11215,FR,MID,FR,60,13815,1949,1949
202311,1,22041093,11215,FR,HUL,FR,10,77327,19008,19008
202311,1,22041093,11215,FR,GSY,FR,10,3016,1260,315
202311,1,22041093,11215,FR,DEU,FR,60,6007,945,945
202311,1,22041093,11215,FR,EUT,FR,60,57539,8650,8650
202311,1,22041093,11215,DE,DOV,DE,60,1666,90,90
202311,1,22041093,11215,DE,EUT,DE,60,967,135,135
202311,1,22041093,11215,IT,NA,FR,0,1728,90,90
202311,1,22041093,11215,IT,NA,IT,0,230262,40471,40471
202311,1,22041093,11215,IT,LON,IT,10,55863,13410,13410
